Time [ms];Mass flow rate [g/s]
0.0936;2.11044532564
0.094;2.11079207998
0.0944;2.11113800233
0.0948;2.11148308573
0.0952;2.11182732323
0.0956;2.11217070799
0.096;2.11251323321
0.0964;2.11285489215
0.0968;2.11319567815
0.0972;2.1135355846
0.0976;2.11387460496
0.098;2.11419211772
0.0984;2.11449843359
0.0988;2.11480384659
0.0992;2.11510835048
0.0996;2.11541193909
0.1;2.11571460635
0.1004;2.11601634621
0.1008;2.11631715272
0.1012;2.11661702
0.1016;2.11691594223
0.102;2.11721391367
0.1024;2.11751092864
0.1028;2.11780698155
0.1032;2.11807712413
0.1036;2.11834261007
0.104;2.11860712015
0.1044;2.1188706491
0.1048;2.11913319173
0.1052;2.11939474293
0.1056;2.11965529764
0.106;2.11991485089
0.1064;2.12017339781
0.1068;2.12043093356
0.1072;2.12068745342
0.1076;2.12094295272
0.108;2.12119742689
0.1084;2.12143544341
0.1088;2.12166132888
0.1092;2.12188617864
0.1096;2.12210998846
0.11;2.12233275417
0.1104;2.12255447172
0.1108;2.1227751371
0.1112;2.12299474643
0.1116;2.12321329586
0.112;2.12343078165
0.1124;2.12364720014
0.1128;2.12386254775
0.1132;2.12407682098
0.1136;2.12429001642
0.114;2.12448274547
0.1144;2.1246691865
0.1148;2.12485454283
0.1152;2.12503881141
0.1156;2.12522198929
0.116;2.12540407358
0.1164;2.12558506151
0.1168;2.12576495036
0.1172;2.12594373752
0.1176;2.12612142045
0.118;2.12629799671
0.1184;2.12647346394
0.1188;2.12664781985
0.1192;2.12682106227
0.1196;2.12698220099
0.12;2.12713040479
0.1204;2.12727749201
0.1208;2.12742346084
0.1212;2.12756830958
0.1216;2.12771203659
0.122;2.12785464033
0.1224;2.12799611936
0.1228;2.12813647232
0.1232;2.12827569793
0.1236;2.128413795
0.124;2.12855076245
0.1244;2.12868659927
0.1248;2.12882130454
0.1252;2.12895487743
0.1256;2.12907351085
0.126;2.12918365902
0.1264;2.12929267594
0.1268;2.12940056119
0.1272;2.12950731441
0.1276;2.12961293537
0.128;2.12971742389
0.1284;2.12982077991
0.1288;2.12992300343
0.1292;2.13002409458
0.1296;2.13012405354
0.13;2.13022288062
0.1304;2.13032057619
0.1308;2.13041714072
0.1312;2.13051257478
0.1316;2.13060116825
0.132;2.13067470648
0.1324;2.13074711963
0.1328;2.13081840865
0.1332;2.1308885746
0.1336;2.13095761861
0.134;2.13102554192
0.1344;2.13109234584
0.1348;2.13115803179
0.1352;2.13122260127
0.1356;2.13128605589
0.136;2.13134839732
0.1364;2.13140962734
0.1368;2.13146974782
0.1372;2.13152876073
0.1376;2.13158666811
0.138;2.13163641355
0.1384;2.1316738878
0.1388;2.13171026644
0.1392;2.13174555191
0.1396;2.13177974674
0.14;2.13181285355
0.1404;2.13184487505
0.1408;2.13187581405
0.1412;2.13190567343
0.1416;2.13193445617
0.142;2.13196216534
0.1424;2.13198880412
0.1428;2.13201437573
0.1432;2.13203888354
0.1436;2.13206233095
0.144;2.13208472149
0.1444;2.13210605878
0.1448;2.13211057048
0.1452;2.13211288953
0.1456;2.13211416994
0.146;2.13211441571
0.1464;2.1321136309
0.1468;2.13211181968
0.1472;2.13210898629
0.1476;2.13210513507
0.148;2.13210027044
0.1484;2.1320943969
0.1488;2.13208751905
0.1492;2.13207964159
0.1496;2.13207076926
0.15;2.13206090693
0.1504;2.13205005954
0.1508;2.13203823211
0.1512;2.13202542976
0.1516;2.13199726276
0.152;2.13196681188
0.1524;2.1319354052
0.1528;2.13190304819
0.1532;2.13186974641
0.1536;2.13183550549
0.154;2.13180033114
0.1544;2.13176422919
0.1548;2.13172720549
0.1552;2.13168926603
0.1556;2.13165041686
0.156;2.13161066409
0.1564;2.13157001395
0.1568;2.13152847272
0.1572;2.13148604677
0.1576;2.13144274257
0.158;2.13139856663
0.1584;2.13134872311
0.1588;2.13128822849
0.1592;2.13122688546
0.1596;2.1311647009
0.16;2.13110168174
0.1604;2.13103783502
0.1608;2.13097316781
0.1612;2.1309076873
0.1616;2.13084140074
0.162;2.13077431545
0.1624;2.13070643883
0.1628;2.13063777835
0.1632;2.13056834157
0.1636;2.13049813611
0.164;2.13042716966
0.1644;2.13035545001
0.1648;2.13028298498
0.1652;2.1302097825
0.1656;2.13013365554
0.166;2.1300454472
0.1664;2.12995652879
0.1668;2.12986690852
0.1672;2.12977659466
0.1676;2.12968559558
0.168;2.12959391968
0.1684;2.12950157547
0.1688;2.1294085715
0.1692;2.12931491639
0.1696;2.12922061883
0.17;2.12912568759
0.1704;2.12903013148
0.1708;2.12893395939
0.1712;2.12883718029
0.1716;2.12873980317
0.172;2.12864183714
0.1724;2.12854329133
0.1728;2.12844417494
0.1732;2.12833939805
0.1736;2.12822658079
0.174;2.12811322407
0.1744;2.12799933735
0.1748;2.12788493013
0.1752;2.12777001202
0.1756;2.12765459264
0.176;2.12753868169
0.1764;2.12742228892
0.1768;2.12730542416
0.1772;2.12718809725
0.1776;2.12707031814
0.178;2.12695209678
0.1784;2.12683344323
0.1788;2.12671436755
0.1792;2.1265948799
0.1796;2.12647499047
0.18;2.12635470949
0.1804;2.12623404727
0.1808;2.12611244391
0.1812;2.1259793598
0.1816;2.12584592862
0.182;2.12571216086
0.1824;2.12557806707
0.1828;2.12544365785
0.1832;2.12530894385
0.1836;2.12517393574
0.184;2.12503864426
0.1844;2.12490308019
0.1848;2.12476725437
0.1852;2.12463117764
0.1856;2.12449486093
0.186;2.12435831518
0.1864;2.12422155139
0.1868;2.1240845806
0.1872;2.12394741387
0.1876;2.12381006233
0.188;2.12367253712
0.1884;2.12353484943
0.1888;2.1233961032
0.1892;2.12324726881
0.1896;2.12309830856
0.19;2.12294923379
0.1904;2.12280005587
0.1908;2.12265078621
0.1912;2.12250143625
0.1916;2.12235201746
0.192;2.12220254135
0.1924;2.12205301945
0.1928;2.12190346333
0.1932;2.12175388458
0.1936;2.12160429484
0.194;2.12145470574
0.1944;2.12130512898
0.1948;2.12115557626
0.1952;2.12100605932
0.1956;2.1208565899
0.196;2.12070717981
0.1964;2.12055784084
0.1968;2.12040858482
0.1972;2.12025438503
0.1976;2.12009525227
0.198;2.11993624071
0.1984;2.11977736225
0.1988;2.11961862882
0.1992;2.11946005239
0.1996;2.11930164491
0.2;2.11914341838
0.2004;2.1189853848
0.2008;2.11882755619
0.2012;2.11866994457
0.2016;2.118512562
0.202;2.11835542055
0.2024;2.11819853227
0.2028;2.11804190926
0.2032;2.11788556362
0.2036;2.11772950745
0.204;2.11757375287
0.2044;2.117418312
0.2048;2.11726319698
0.2052;2.11710841995
0.2056;2.11695129736
0.206;2.11678787552
0.2064;2.1166248305
0.2068;2.11646217447
0.2072;2.11629991959
0.2076;2.11613807801
0.208;2.11597666192
0.2084;2.11581568347
0.2088;2.11565515483
0.2092;2.11549508817
0.2096;2.11533549565
0.21;2.11517638944
0.2104;2.11501778169
0.2108;2.11485968458
0.2112;2.11470211024
0.2116;2.11454507083
0.212;2.11438857849
0.2124;2.11423264536
0.2128;2.11407728356
0.2132;2.11392250523
0.2136;2.11376832246
0.214;2.11361474737
0.2144;2.1134579819
0.2148;2.11329697222
0.2152;2.11313660858
0.2156;2.11297690302
0.216;2.11281786758
0.2164;2.11265951428
0.2168;2.11250185513
0.2172;2.11234490211
0.2176;2.11218866721
0.218;2.11203316239
0.2184;2.11187839957
0.2188;2.11172439068
0.2192;2.11157114762
0.2196;2.11141868228
0.22;2.1112670065
0.2204;2.11111613214
0.2208;2.11096607101
0.2212;2.11081683489
0.2216;2.11066843556
0.222;2.11052088476
0.2224;2.11037419422
0.2228;2.11022837562
0.2232;2.11008344062
0.2236;2.10993180597
0.224;2.10978061111
0.2244;2.1096303365
0.2248;2.1094809937
0.2252;2.1093325942
0.2256;2.1091851495
0.226;2.10903867102
0.2264;2.10889317019
0.2268;2.10874865839
0.2272;2.10860514695
0.2276;2.1084626472
0.228;2.10832117039
0.2284;2.10818072778
0.2288;2.10804133055
0.2292;2.10790298988
0.2296;2.10776571688
0.23;2.10762952265
0.2304;2.10749441822
0.2308;2.10736041459
0.2312;2.10722752274
0.2316;2.10709575358
0.232;2.10696511799
0.2324;2.1068356268
0.2328;2.10670139037
0.2332;2.10656673705
0.2336;2.10643326188
0.234;2.10630097551
0.2344;2.10616988853
0.2348;2.10604001149
0.2352;2.10591135489
0.2356;2.10578392916
0.236;2.10565774471
0.2364;2.1055328119
0.2368;2.10540914101
0.2372;2.10528674228
0.2376;2.10516562593
0.238;2.10504580207
0.2384;2.10492728081
0.2388;2.10481007217
0.2392;2.10469418612
0.2396;2.1045796326
0.24;2.10446642146
0.2404;2.10435456252
0.2408;2.10424406552
0.2412;2.10413494016
0.2416;2.10402719607
0.242;2.10392084283
0.2424;2.10380916268
0.2428;2.1036986743
0.2432;2.10358960634
0.2436;2.10348196812
0.244;2.10337576888
0.2444;2.10327101782
0.2448;2.10316772407
0.2452;2.10306589669
0.2456;2.10296554469
0.246;2.10286667698
0.2464;2.10276930245
0.2468;2.1026734299
0.2472;2.10257906805
0.2476;2.10248622558
0.248;2.10239491108
0.2484;2.10230513309
0.2488;2.10221690006
0.2492;2.10213022038
0.2496;2.10204510238
0.25;2.1019615543
0.2504;2.10187958432
0.2508;2.10179920055
0.2512;2.10172041102
0.2516;2.1016432237
0.252;2.10156459957
0.2524;2.10148419364
0.2528;2.10140541424
0.2532;2.10132826903
0.2536;2.10125276557
0.254;2.10117891136
0.2544;2.10110671381
0.2548;2.10103618028
0.2552;2.10096731802
0.2556;2.10090013422
0.256;2.10083463599
0.2564;2.10077083037
0.2568;2.10070872429
0.2572;2.10064832463
0.2576;2.10058963818
0.258;2.10053267164
0.2584;2.10047743165
0.2588;2.10042392475
0.2592;2.10037215741
0.2596;2.100322136
0.26;2.10027386682
0.2604;2.1002273561
0.2608;2.10018260995
0.2612;2.10013963443
0.2616;2.1000984355
0.262;2.10005727655
0.2624;2.10001366511
0.2628;2.09997184821
0.2632;2.09993183148
0.2636;2.09989362042
0.264;2.09985722047
0.2644;2.09982263697
0.2648;2.09978987518
0.2652;2.09975894026
0.2656;2.09972983731
0.266;2.09970257131
0.2664;2.09967714716
0.2668;2.09965356968
0.2672;2.09963184359
0.2676;2.09961197353
0.268;2.09959396404
0.2684;2.09957781957
0.2688;2.09956354449
0.2692;2.09955114307
0.2696;2.09954061948
0.27;2.09953197783
0.2704;2.0995252221
0.2708;2.09952035619
0.2712;2.09951738393
0.2716;2.09951630903
0.272;2.09951713511
0.2724;2.0995175626
0.2728;2.09951664809
0.2732;2.09951764516
0.2736;2.09952055707
0.274;2.09952538695
0.2744;2.09953213784
0.2748;2.09954081271
0.2752;2.0995514144
0.2756;2.09956394569
0.276;2.09957840924
0.2764;2.09959480762
0.2768;2.09961314331
0.2772;2.0996334187
0.2776;2.09965563606
0.278;2.09967979759
0.2784;2.09970590537
0.2788;2.09973396142
0.2792;2.09976396761
0.2796;2.09979592577
0.28;2.09982983759
0.2804;2.09986570469
0.2808;2.09990352857
0.2812;2.09994331066
0.2816;2.09998505226
0.282;2.10002875461
0.2824;2.10007441881
0.2828;2.10012204591
0.2832;2.1001673406
0.2836;2.10021374223
0.284;2.10026210925
0.2844;2.10031244226
0.2848;2.10036474181
0.2852;2.1004190083
0.2856;2.10047524206
0.286;2.10053344332
0.2864;2.10059361221
0.2868;2.10065574876
0.2872;2.1007198529
0.2876;2.10078592447
0.288;2.1008539632
0.2884;2.10092396874
0.2888;2.10099594061
0.2892;2.10106987826
0.2896;2.10114578103
0.29;2.10122364818
0.2904;2.10130347884
0.2908;2.10138527206
0.2912;2.1014690268
0.2916;2.10155474191
0.292;2.10164241613
0.2924;2.10173204813
0.2928;2.10182363647
0.2932;2.1019171796
0.2936;2.10201267589
0.294;2.10210754933
0.2944;2.10220216322
0.2948;2.10229872454
0.2952;2.10239723124
0.2956;2.10249768119
0.296;2.10260007216
0.2964;2.1027044018
0.2968;2.1028106677
0.2972;2.10291886733
0.2976;2.10302899805
0.298;2.10314105716
0.2984;2.10325504184
0.2988;2.10337094917
0.2992;2.10348877616
0.2996;2.10360851969
0.3;2.10373017656
0.3004;2.10385374348
0.3008;2.10397921706
0.3012;2.10410659382
0.3016;2.10423587017
0.302;2.10436704244
0.3024;2.10450010685
0.3028;2.10463505955
0.3032;2.10477189657
0.3036;2.10491061387
0.304;2.10505120729
0.3044;2.1051936726
0.3048;2.10533800547
0.3052;2.1054818978
0.3056;2.1056255132
0.306;2.10577098216
0.3064;2.10591829996
0.3068;2.10606746181
