#DataThief /Users/mhenryde/Desktop/dhit/movahed_jfm_data/movahed_jfm_reynolds.png Tuesday 3-Jan-2017 2:19:10 PM
0.0109, 138.0276
0.0193, 137.8348
0.0278, 137.6419
0.0362, 137.4491
0.0447, 137.2563
0.0531, 137.0634
0.0616, 136.8706
0.0701, 136.6778
0.07, 136.4849
0.0785, 136.2921
0.0785, 136.0991
0.0869, 135.9062
0.0954, 135.7135
0.0954, 135.5206
0.1038, 135.3277
0.1123, 135.1349
0.1123, 134.942
0.1207, 134.7492
0.1292, 134.5563
0.1292, 134.3634
0.1376, 134.1706
0.1376, 133.9777
0.1461, 133.7849
0.146, 133.592
0.1545, 133.592
0.1545, 133.3991
0.163, 133.2063
0.1629, 133.0134
0.1714, 132.8206
0.1714, 132.6276
0.1798, 132.4348
0.1883, 132.242
0.1883, 132.0491
0.1967, 131.8563
0.1967, 131.6633
0.2052, 131.4705
0.2052, 131.2776
0.2136, 131.0848
0.2136, 130.8919
0.2221, 130.6989
0.222, 130.5061
0.222, 130.3132
0.2305, 130.1204
0.2305, 129.9275
0.2305, 129.7346
0.2389, 129.7346
0.2389, 129.5417
0.2474, 129.3489
0.2474, 129.156
0.2473, 128.963
0.2558, 128.7703
0.2558, 128.5773
0.2558, 128.3844
0.2642, 128.1916
0.2642, 127.9987
0.2642, 127.8058
0.2727, 127.613
0.2726, 127.42
0.2726, 127.2271
0.2811, 127.0343
0.2811, 126.8414
0.2894, 126.6486
0.2894, 126.4556
0.2894, 126.2627
0.2894, 126.0698
0.2979, 125.877
0.2979, 125.6841
0.2979, 125.4912
0.2979, 125.2983
0.3064, 125.1054
0.3063, 124.9125
0.3063, 124.7196
0.3063, 124.5267
0.3148, 124.5268
0.3148, 124.3338
0.3148, 124.141
0.3232, 123.9481
0.3232, 123.7551
0.3232, 123.5623
0.3232, 123.3694
0.3316, 123.1766
0.3316, 122.9837
0.3316, 122.7908
0.3316, 122.5977
0.34, 122.405
0.34, 122.2121
0.34, 122.0192
0.34, 121.8263
0.3485, 121.6335
0.3485, 121.4405
0.3484, 121.2476
0.3484, 121.0547
0.3569, 120.8618
0.3569, 120.669
0.3569, 120.4761
0.3568, 120.2832
0.3653, 120.0903
0.3653, 119.8974
0.3653, 119.7045
0.3653, 119.5116
0.3737, 119.3188
0.3737, 119.1259
0.3737, 118.933
0.3737, 118.74
0.3737, 118.5471
0.382, 118.3543
0.382, 118.1614
0.382, 117.9685
0.3905, 117.7757
0.3905, 117.5827
0.3905, 117.3898
0.399, 117.197
0.399, 117.0041
0.399, 116.8112
0.4074, 116.6183
0.4074, 116.4254
0.4074, 116.2325
0.4158, 116.0397
0.4158, 115.8468
0.4158, 115.6539
0.4243, 115.461
0.4242, 115.2681
0.4242, 115.0752
0.4327, 114.8824
0.4327, 114.6895
0.4327, 114.4966
0.4411, 114.3037
0.4411, 114.1108
0.4411, 113.9179
0.4495, 113.725
0.4495, 113.5322
0.4495, 113.3393
0.458, 113.1464
0.458, 112.9535
0.458, 112.7606
0.4664, 112.5678
0.4664, 112.3749
0.4664, 112.182
0.4664, 111.9891
0.4748, 111.7962
0.4748, 111.6033
0.4748, 111.4104
0.4748, 111.2175
0.4832, 111.0247
0.4832, 110.8317
0.4832, 110.6389
0.4832, 110.4459
0.4917, 110.253
0.4916, 110.0602
0.4916, 109.8673
0.5001, 109.6745
0.5001, 109.4816
0.5001, 109.2886
0.5, 109.0957
0.5085, 108.9029
0.5085, 108.71
0.5085, 108.5171
0.5085, 108.3242
0.5169, 108.1313
0.5169, 107.9384
0.5169, 107.7455
0.5253, 107.5527
0.5253, 107.3598
0.5253, 107.1669
0.5338, 106.974
0.5338, 106.7811
0.5338, 106.5882
0.5422, 106.3954
0.5422, 106.2025
0.5422, 106.0096
0.5422, 105.8167
0.5506, 105.6238
0.5506, 105.4309
0.5506, 105.238
0.5591, 105.0452
0.559, 104.8523
0.559, 104.6594
0.559, 104.4664
0.5675, 104.2736
0.5675, 104.0807
0.5674, 103.8878
0.5758, 103.6949
0.5758, 103.5021
0.5758, 103.3091
0.5843, 103.1163
0.5843, 102.9234
0.5928, 102.7306
0.5928, 102.5377
0.5927, 102.3448
0.6012, 102.3448
0.6012, 102.1519
0.6012, 101.959
0.6096, 101.7662
0.6096, 101.5733
0.6181, 101.3804
0.6181, 101.1875
0.6181, 100.9946
0.6265, 100.8018
0.6265, 100.6089
0.6349, 100.4161
0.6349, 100.2231
0.6349, 100.0302
0.6434, 100.0303
0.6434, 99.8374
0.6434, 99.6444
0.6434, 99.4516
0.6518, 99.2588
0.6518, 99.0658
0.6518, 98.8729
0.6518, 98.68
0.6602, 98.4872
0.6602, 98.2943
0.6602, 98.1014
0.6602, 97.9085
0.6686, 97.7156
0.6686, 97.5227
0.6686, 97.3298
0.6686, 97.1369
0.6771, 96.9441
0.677, 96.7511
0.677, 96.5583
0.6855, 96.3654
0.6855, 96.1724
0.6855, 95.9796
0.6854, 95.7867
0.6939, 95.5939
0.6939, 95.401
0.6939, 95.208
0.6939, 95.0151
0.7023, 94.8223
0.7023, 94.6294
0.7023, 94.4365
0.7023, 94.2436
0.7107, 94.0507
0.7107, 93.8578
0.7191, 93.665
0.7191, 93.4721
0.7191, 93.2792
0.7276, 93.2793
0.7276, 93.0864
0.7276, 92.8934
0.736, 92.7006
0.736, 92.5077
0.7445, 92.3149
0.7445, 92.1219
0.7445, 91.9291
0.7529, 91.7362
0.7529, 91.5433
0.7529, 91.3504
0.7612, 91.1576
0.7612, 90.9647
0.7698, 90.7718
