#Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
231.33	60.000	92.557	0.010804	153.26	218.09	5.2849	0.77038	1.2426	316.97	0.28204	1.6157e-05	0.025125	supercritical
232.00	60.000	92.205	0.010845	153.84	218.91	5.2885	0.77013	1.2408	317.51	0.28055	1.6184e-05	0.025156	supercritical
232.67	60.000	91.857	0.010887	154.42	219.74	5.2920	0.76990	1.2389	318.05	0.27908	1.6210e-05	0.025187	supercritical
233.33	60.000	91.511	0.010928	155.00	220.57	5.2956	0.76966	1.2371	318.59	0.27761	1.6237e-05	0.025218	supercritical
234.00	60.000	91.169	0.010969	155.58	221.39	5.2991	0.76943	1.2354	319.13	0.27615	1.6263e-05	0.025249	supercritical
234.67	60.000	90.830	0.011010	156.16	222.21	5.3026	0.76920	1.2336	319.67	0.27470	1.6290e-05	0.025280	supercritical
235.33	60.000	90.494	0.011050	156.73	223.04	5.3061	0.76898	1.2319	320.20	0.27326	1.6317e-05	0.025312	supercritical
236.00	60.000	90.162	0.011091	157.31	223.86	5.3096	0.76876	1.2302	320.73	0.27183	1.6343e-05	0.025343	supercritical
236.67	60.000	89.831	0.011132	157.88	224.68	5.3130	0.76854	1.2285	321.27	0.27041	1.6370e-05	0.025375	supercritical
237.33	60.000	89.504	0.011173	158.46	225.49	5.3165	0.76832	1.2268	321.80	0.26899	1.6397e-05	0.025406	supercritical
238.00	60.000	89.180	0.011213	159.03	226.31	5.3199	0.76811	1.2252	322.32	0.26759	1.6424e-05	0.025438	supercritical
238.67	60.000	88.859	0.011254	159.60	227.13	5.3234	0.76790	1.2236	322.85	0.26620	1.6451e-05	0.025470	supercritical
239.33	60.000	88.540	0.011294	160.18	227.94	5.3268	0.76770	1.2220	323.38	0.26481	1.6478e-05	0.025501	supercritical
240.00	60.000	88.224	0.011335	160.75	228.76	5.3302	0.76749	1.2204	323.90	0.26343	1.6505e-05	0.025533	supercritical
240.67	60.000	87.911	0.011375	161.32	229.57	5.3335	0.76729	1.2189	324.42	0.26206	1.6532e-05	0.025565	supercritical
241.33	60.000	87.600	0.011415	161.89	230.38	5.3369	0.76710	1.2174	324.94	0.26070	1.6559e-05	0.025597	supercritical
242.00	60.000	87.292	0.011456	162.46	231.19	5.3403	0.76690	1.2159	325.46	0.25935	1.6586e-05	0.025630	supercritical
242.67	60.000	86.987	0.011496	163.03	232.00	5.3436	0.76671	1.2144	325.98	0.25801	1.6613e-05	0.025662	supercritical
243.33	60.000	86.684	0.011536	163.60	232.81	5.3469	0.76652	1.2130	326.50	0.25667	1.6640e-05	0.025694	supercritical
244.00	60.000	86.384	0.011576	164.16	233.62	5.3503	0.76633	1.2115	327.01	0.25535	1.6667e-05	0.025726	supercritical
244.67	60.000	86.086	0.011616	164.73	234.43	5.3536	0.76615	1.2101	327.53	0.25403	1.6694e-05	0.025758	supercritical
245.33	60.000	85.790	0.011656	165.30	235.23	5.3569	0.76597	1.2087	328.04	0.25272	1.6721e-05	0.025791	supercritical
246.00	60.000	85.497	0.011696	165.86	236.04	5.3601	0.76579	1.2073	328.55	0.25142	1.6748e-05	0.025823	supercritical
246.67	60.000	85.207	0.011736	166.43	236.84	5.3634	0.76561	1.2060	329.06	0.25012	1.6776e-05	0.025855	supercritical
247.33	60.000	84.918	0.011776	166.99	237.65	5.3667	0.76543	1.2046	329.57	0.24884	1.6803e-05	0.025888	supercritical
248.00	60.000	84.632	0.011816	167.56	238.45	5.3699	0.76526	1.2033	330.07	0.24756	1.6830e-05	0.025920	supercritical
248.67	60.000	84.349	0.011856	168.12	239.25	5.3731	0.76509	1.2020	330.58	0.24629	1.6857e-05	0.025952	supercritical
249.33	60.000	84.067	0.011895	168.68	240.05	5.3763	0.76492	1.2007	331.08	0.24502	1.6885e-05	0.025984	supercritical
250.00	60.000	83.788	0.011935	169.24	240.85	5.3795	0.76476	1.1994	331.59	0.24377	1.6912e-05	0.026016	supercritical
250.67	60.000	83.511	0.011974	169.81	241.65	5.3827	0.76460	1.1981	332.09	0.24252	1.6939e-05	0.026048	supercritical
251.33	60.000	83.236	0.012014	170.37	242.45	5.3859	0.76443	1.1969	332.59	0.24128	1.6967e-05	0.026079	supercritical
252.00	60.000	82.963	0.012054	170.93	243.25	5.3891	0.76427	1.1957	333.09	0.24005	1.6994e-05	0.026109	supercritical
252.67	60.000	82.692	0.012093	171.49	244.04	5.3922	0.76412	1.1945	333.58	0.23882	1.7021e-05	0.026136	supercritical
253.33	60.000	82.424	0.012132	172.05	244.84	5.3954	0.76396	1.1933	334.08	0.23760	1.7049e-05	0.026171	supercritical
254.00	60.000	82.157	0.012172	172.60	245.64	5.3985	0.76381	1.1921	334.58	0.23639	1.7076e-05	0.026206	supercritical
254.67	60.000	81.893	0.012211	173.16	246.43	5.4016	0.76366	1.1909	335.07	0.23519	1.7104e-05	0.026241	supercritical
255.33	60.000	81.630	0.012250	173.72	247.22	5.4048	0.76351	1.1898	335.56	0.23399	1.7131e-05	0.026276	supercritical
256.00	60.000	81.370	0.012290	174.28	248.02	5.4079	0.76336	1.1886	336.05	0.23280	1.7159e-05	0.026311	supercritical
256.67	60.000	81.111	0.012329	174.84	248.81	5.4110	0.76322	1.1875	336.54	0.23162	1.7186e-05	0.026347	supercritical
257.33	60.000	80.854	0.012368	175.39	249.60	5.4140	0.76307	1.1864	337.03	0.23045	1.7214e-05	0.026382	supercritical
258.00	60.000	80.599	0.012407	175.95	250.39	5.4171	0.76293	1.1853	337.52	0.22928	1.7241e-05	0.026417	supercritical
258.67	60.000	80.346	0.012446	176.50	251.18	5.4202	0.76279	1.1842	338.01	0.22811	1.7269e-05	0.026453	supercritical
259.33	60.000	80.095	0.012485	177.06	251.97	5.4232	0.76265	1.1831	338.49	0.22696	1.7296e-05	0.026488	supercritical
260.00	60.000	79.846	0.012524	177.61	252.76	5.4262	0.76252	1.1821	338.98	0.22581	1.7324e-05	0.026524	supercritical
260.67	60.000	79.599	0.012563	178.17	253.55	5.4293	0.76238	1.1810	339.46	0.22467	1.7351e-05	0.026559	supercritical
261.33	60.000	79.353	0.012602	178.72	254.33	5.4323	0.76225	1.1800	339.94	0.22353	1.7379e-05	0.026595	supercritical
262.00	60.000	79.109	0.012641	179.27	255.12	5.4353	0.76212	1.1790	340.42	0.22241	1.7406e-05	0.026630	supercritical
262.67	60.000	78.867	0.012680	179.83	255.90	5.4383	0.76199	1.1780	340.90	0.22128	1.7434e-05	0.026666	supercritical
263.33	60.000	78.626	0.012718	180.38	256.69	5.4413	0.76186	1.1770	341.38	0.22017	1.7461e-05	0.026701	supercritical
264.00	60.000	78.388	0.012757	180.93	257.47	5.4442	0.76174	1.1760	341.86	0.21906	1.7489e-05	0.026737	supercritical
264.67	60.000	78.150	0.012796	181.48	258.26	5.4472	0.76161	1.1750	342.34	0.21796	1.7517e-05	0.026773	supercritical
265.33	60.000	77.915	0.012834	182.03	259.04	5.4502	0.76149	1.1740	342.81	0.21686	1.7544e-05	0.026808	supercritical
266.00	60.000	77.681	0.012873	182.58	259.82	5.4531	0.76137	1.1731	343.29	0.21577	1.7572e-05	0.026844	supercritical
266.67	60.000	77.449	0.012912	183.13	260.60	5.4560	0.76125	1.1722	343.76	0.21468	1.7599e-05	0.026880	supercritical
267.33	60.000	77.219	0.012950	183.68	261.39	5.4590	0.76113	1.1712	344.23	0.21361	1.7627e-05	0.026916	supercritical
268.00	60.000	76.990	0.012989	184.23	262.17	5.4619	0.76101	1.1703	344.70	0.21253	1.7655e-05	0.026951	supercritical
268.67	60.000	76.762	0.013027	184.78	262.95	5.4648	0.76090	1.1694	345.17	0.21147	1.7682e-05	0.026987	supercritical
269.33	60.000	76.536	0.013066	185.33	263.73	5.4677	0.76078	1.1685	345.64	0.21041	1.7710e-05	0.027023	supercritical
270.00	60.000	76.312	0.013104	185.88	264.50	5.4706	0.76067	1.1676	346.11	0.20935	1.7738e-05	0.027059	supercritical
270.67	60.000	76.089	0.013142	186.43	265.28	5.4734	0.76056	1.1667	346.58	0.20831	1.7765e-05	0.027095	supercritical
271.33	60.000	75.868	0.013181	186.97	266.06	5.4763	0.76045	1.1659	347.04	0.20726	1.7793e-05	0.027131	supercritical
272.00	60.000	75.648	0.013219	187.52	266.84	5.4792	0.76034	1.1650	347.51	0.20623	1.7820e-05	0.027167	supercritical
272.67	60.000	75.430	0.013257	188.07	267.61	5.4820	0.76023	1.1641	347.97	0.20520	1.7848e-05	0.027203	supercritical
273.33	60.000	75.213	0.013296	188.61	268.39	5.4849	0.76013	1.1633	348.43	0.20417	1.7876e-05	0.027239	supercritical
274.00	60.000	74.997	0.013334	189.16	269.16	5.4877	0.76002	1.1625	348.90	0.20315	1.7903e-05	0.027274	supercritical
274.67	60.000	74.783	0.013372	189.71	269.94	5.4905	0.75992	1.1617	349.36	0.20214	1.7931e-05	0.027311	supercritical
275.33	60.000	74.570	0.013410	190.25	270.71	5.4933	0.75982	1.1608	349.82	0.20113	1.7959e-05	0.027347	supercritical
276.00	60.000	74.359	0.013448	190.80	271.49	5.4961	0.75972	1.1600	350.27	0.20013	1.7986e-05	0.027383	supercritical
276.67	60.000	74.149	0.013486	191.34	272.26	5.4989	0.75962	1.1592	350.73	0.19913	1.8014e-05	0.027419	supercritical
277.33	60.000	73.941	0.013524	191.89	273.03	5.5017	0.75952	1.1585	351.19	0.19814	1.8042e-05	0.027455	supercritical
278.00	60.000	73.733	0.013562	192.43	273.80	5.5045	0.75942	1.1577	351.65	0.19715	1.8069e-05	0.027491	supercritical
278.67	60.000	73.527	0.013600	192.97	274.58	5.5073	0.75933	1.1569	352.10	0.19617	1.8097e-05	0.027527	supercritical
279.33	60.000	73.323	0.013638	193.52	275.35	5.5101	0.75923	1.1561	352.55	0.19519	1.8125e-05	0.027563	supercritical
280.00	60.000	73.119	0.013676	194.06	276.12	5.5128	0.75914	1.1554	353.01	0.19422	1.8152e-05	0.027599	supercritical
280.67	60.000	72.917	0.013714	194.60	276.89	5.5156	0.75904	1.1546	353.46	0.19325	1.8180e-05	0.027635	supercritical
281.33	60.000	72.717	0.013752	195.14	277.66	5.5183	0.75895	1.1539	353.91	0.19229	1.8207e-05	0.027672	supercritical
282.00	60.000	72.517	0.013790	195.69	278.43	5.5210	0.75886	1.1532	354.36	0.19134	1.8235e-05	0.027708	supercritical
282.67	60.000	72.319	0.013828	196.23	279.19	5.5237	0.75877	1.1524	354.81	0.19039	1.8263e-05	0.027744	supercritical
283.33	60.000	72.122	0.013865	196.77	279.96	5.5265	0.75869	1.1517	355.26	0.18944	1.8290e-05	0.027780	supercritical
284.00	60.000	71.926	0.013903	197.31	280.73	5.5292	0.75860	1.1510	355.71	0.18850	1.8318e-05	0.027816	supercritical
284.67	60.000	71.732	0.013941	197.85	281.50	5.5319	0.75851	1.1503	356.15	0.18757	1.8346e-05	0.027853	supercritical
285.33	60.000	71.538	0.013979	198.39	282.26	5.5346	0.75843	1.1496	356.60	0.18664	1.8373e-05	0.027889	supercritical
286.00	60.000	71.346	0.014016	198.93	283.03	5.5372	0.75835	1.1489	357.04	0.18571	1.8401e-05	0.027925	supercritical
286.67	60.000	71.155	0.014054	199.47	283.80	5.5399	0.75826	1.1483	357.49	0.18479	1.8428e-05	0.027961	supercritical
287.33	60.000	70.965	0.014091	200.01	284.56	5.5426	0.75818	1.1476	357.93	0.18387	1.8456e-05	0.027998	supercritical
288.00	60.000	70.776	0.014129	200.55	285.33	5.5452	0.75810	1.1469	358.37	0.18296	1.8484e-05	0.028034	supercritical
288.67	60.000	70.589	0.014167	201.09	286.09	5.5479	0.75802	1.1463	358.82	0.18206	1.8511e-05	0.028070	supercritical
289.33	60.000	70.402	0.014204	201.63	286.85	5.5505	0.75795	1.1456	359.26	0.18115	1.8539e-05	0.028107	supercritical
290.00	60.000	70.217	0.014242	202.17	287.62	5.5532	0.75787	1.1450	359.70	0.18026	1.8566e-05	0.028143	supercritical
290.67	60.000	70.033	0.014279	202.71	288.38	5.5558	0.75779	1.1443	360.13	0.17936	1.8594e-05	0.028179	supercritical
291.33	60.000	69.849	0.014317	203.24	289.14	5.5584	0.75772	1.1437	360.57	0.17848	1.8622e-05	0.028216	supercritical
292.00	60.000	69.667	0.014354	203.78	289.91	5.5610	0.75764	1.1431	361.01	0.17759	1.8649e-05	0.028252	supercritical
292.67	60.000	69.486	0.014391	204.32	290.67	5.5636	0.75757	1.1424	361.45	0.17671	1.8677e-05	0.028289	supercritical
293.33	60.000	69.306	0.014429	204.86	291.43	5.5662	0.75750	1.1418	361.88	0.17584	1.8704e-05	0.028325	supercritical
294.00	60.000	69.127	0.014466	205.39	292.19	5.5688	0.75742	1.1412	362.32	0.17497	1.8732e-05	0.028361	supercritical
294.67	60.000	68.950	0.014503	205.93	292.95	5.5714	0.75735	1.1406	362.75	0.17410	1.8759e-05	0.028398	supercritical
295.33	60.000	68.773	0.014541	206.47	293.71	5.5740	0.75728	1.1400	363.18	0.17324	1.8787e-05	0.028434	supercritical
296.00	60.000	68.597	0.014578	207.00	294.47	5.5766	0.75722	1.1394	363.62	0.17238	1.8815e-05	0.028471	supercritical
296.67	60.000	68.422	0.014615	207.54	295.23	5.5791	0.75715	1.1389	364.05	0.17153	1.8842e-05	0.028507	supercritical
297.33	60.000	68.248	0.014652	208.07	295.99	5.5817	0.75708	1.1383	364.48	0.17068	1.8870e-05	0.028544	supercritical
298.00	60.000	68.075	0.014690	208.61	296.75	5.5842	0.75701	1.1377	364.91	0.16984	1.8897e-05	0.028580	supercritical
298.67	60.000	67.904	0.014727	209.15	297.51	5.5868	0.75695	1.1371	365.34	0.16900	1.8925e-05	0.028616	supercritical
299.33	60.000	67.733	0.014764	209.68	298.26	5.5893	0.75689	1.1366	365.77	0.16816	1.8952e-05	0.028653	supercritical
300.00	60.000	67.563	0.014801	210.22	299.02	5.5918	0.75682	1.1360	366.19	0.16733	1.8980e-05	0.028689	supercritical
300.67	60.000	67.394	0.014838	210.75	299.78	5.5943	0.75676	1.1355	366.62	0.16651	1.9007e-05	0.028726	supercritical
301.33	60.000	67.226	0.014875	211.28	300.54	5.5969	0.75670	1.1349	367.05	0.16568	1.9035e-05	0.028762	supercritical
302.00	60.000	67.059	0.014912	211.82	301.29	5.5994	0.75664	1.1344	367.47	0.16486	1.9062e-05	0.028799	supercritical
302.67	60.000	66.893	0.014949	212.35	302.05	5.6019	0.75658	1.1338	367.90	0.16405	1.9089e-05	0.028835	supercritical
303.33	60.000	66.728	0.014986	212.89	302.80	5.6044	0.75652	1.1333	368.32	0.16324	1.9117e-05	0.028872	supercritical
304.00	60.000	66.563	0.015023	213.42	303.56	5.6069	0.75646	1.1328	368.74	0.16243	1.9144e-05	0.028908	supercritical
304.67	60.000	66.400	0.015060	213.95	304.31	5.6093	0.75640	1.1323	369.17	0.16163	1.9172e-05	0.028945	supercritical
305.33	60.000	66.237	0.015097	214.49	305.07	5.6118	0.75635	1.1317	369.59	0.16083	1.9199e-05	0.028981	supercritical
306.00	60.000	66.076	0.015134	215.02	305.82	5.6143	0.75629	1.1312	370.01	0.16003	1.9227e-05	0.029018	supercritical
306.67	60.000	65.915	0.015171	215.55	306.58	5.6167	0.75623	1.1307	370.43	0.15924	1.9254e-05	0.029054	supercritical
307.33	60.000	65.755	0.015208	216.08	307.33	5.6192	0.75618	1.1302	370.85	0.15845	1.9281e-05	0.029091	supercritical
308.00	60.000	65.596	0.015245	216.62	308.08	5.6216	0.75613	1.1297	371.27	0.15767	1.9309e-05	0.029128	supercritical
308.67	60.000	65.438	0.015282	217.15	308.84	5.6241	0.75607	1.1292	371.68	0.15689	1.9336e-05	0.029164	supercritical
309.33	60.000	65.281	0.015318	217.68	309.59	5.6265	0.75602	1.1288	372.10	0.15611	1.9364e-05	0.029201	supercritical
310.00	60.000	65.124	0.015355	218.21	310.34	5.6289	0.75597	1.1283	372.52	0.15534	1.9391e-05	0.029237	supercritical
310.67	60.000	64.969	0.015392	218.74	311.09	5.6314	0.75592	1.1278	372.93	0.15457	1.9418e-05	0.029274	supercritical
311.33	60.000	64.814	0.015429	219.27	311.85	5.6338	0.75587	1.1273	373.35	0.15380	1.9446e-05	0.029310	supercritical
312.00	60.000	64.660	0.015466	219.80	312.60	5.6362	0.75582	1.1269	373.76	0.15304	1.9473e-05	0.029347	supercritical
312.67	60.000	64.507	0.015502	220.33	313.35	5.6386	0.75577	1.1264	374.18	0.15228	1.9500e-05	0.029384	supercritical
313.33	60.000	64.354	0.015539	220.86	314.10	5.6410	0.75573	1.1259	374.59	0.15153	1.9528e-05	0.029420	supercritical
314.00	60.000	64.203	0.015576	221.40	314.85	5.6434	0.75568	1.1255	375.00	0.15078	1.9555e-05	0.029457	supercritical
314.67	60.000	64.052	0.015612	221.93	315.60	5.6458	0.75563	1.1250	375.41	0.15003	1.9582e-05	0.029493	supercritical
315.33	60.000	63.902	0.015649	222.46	316.35	5.6482	0.75559	1.1246	375.82	0.14928	1.9610e-05	0.029530	supercritical
316.00	60.000	63.753	0.015686	222.99	317.10	5.6505	0.75554	1.1241	376.23	0.14854	1.9637e-05	0.029566	supercritical
316.67	60.000	63.604	0.015722	223.52	317.85	5.6529	0.75550	1.1237	376.64	0.14781	1.9664e-05	0.029603	supercritical
317.33	60.000	63.457	0.015759	224.04	318.60	5.6553	0.75546	1.1233	377.05	0.14707	1.9691e-05	0.029640	supercritical
318.00	60.000	63.310	0.015795	224.57	319.35	5.6576	0.75541	1.1228	377.46	0.14634	1.9719e-05	0.029676	supercritical
318.67	60.000	63.164	0.015832	225.10	320.09	5.6600	0.75537	1.1224	377.87	0.14562	1.9746e-05	0.029713	supercritical
319.33	60.000	63.018	0.015868	225.63	320.84	5.6623	0.75533	1.1220	378.27	0.14489	1.9773e-05	0.029749	supercritical
320.00	60.000	62.874	0.015905	226.16	321.59	5.6647	0.75529	1.1215	378.68	0.14417	1.9800e-05	0.029786	supercritical
320.67	60.000	62.730	0.015941	226.69	322.34	5.6670	0.75525	1.1211	379.09	0.14346	1.9828e-05	0.029823	supercritical
321.33	60.000	62.586	0.015978	227.22	323.09	5.6693	0.75521	1.1207	379.49	0.14274	1.9855e-05	0.029859	supercritical
322.00	60.000	62.444	0.016014	227.75	323.83	5.6716	0.75517	1.1203	379.89	0.14203	1.9882e-05	0.029896	supercritical
322.67	60.000	62.302	0.016051	228.27	324.58	5.6740	0.75514	1.1199	380.30	0.14133	1.9909e-05	0.029932	supercritical
323.33	60.000	62.161	0.016087	228.80	325.33	5.6763	0.75510	1.1195	380.70	0.14062	1.9936e-05	0.029969	supercritical
324.00	60.000	62.021	0.016124	229.33	326.07	5.6786	0.75506	1.1191	381.10	0.13992	1.9963e-05	0.030006	supercritical
324.67	60.000	61.881	0.016160	229.86	326.82	5.6809	0.75503	1.1187	381.50	0.13922	1.9991e-05	0.030042	supercritical
325.33	60.000	61.742	0.016196	230.38	327.56	5.6832	0.75499	1.1183	381.91	0.13853	2.0018e-05	0.030079	supercritical
326.00	60.000	61.604	0.016233	230.91	328.31	5.6855	0.75496	1.1179	382.31	0.13784	2.0045e-05	0.030116	supercritical
326.67	60.000	61.466	0.016269	231.44	329.05	5.6877	0.75493	1.1176	382.71	0.13715	2.0072e-05	0.030152	supercritical
327.33	60.000	61.329	0.016305	231.97	329.80	5.6900	0.75489	1.1172	383.10	0.13647	2.0099e-05	0.030189	supercritical
328.00	60.000	61.193	0.016342	232.49	330.54	5.6923	0.75486	1.1168	383.50	0.13578	2.0126e-05	0.030225	supercritical
328.67	60.000	61.057	0.016378	233.02	331.29	5.6946	0.75483	1.1164	383.90	0.13511	2.0153e-05	0.030262	supercritical
329.33	60.000	60.923	0.016414	233.55	332.03	5.6968	0.75480	1.1161	384.30	0.13443	2.0180e-05	0.030299	supercritical
330.00	60.000	60.788	0.016451	234.07	332.78	5.6991	0.75477	1.1157	384.69	0.13376	2.0207e-05	0.030335	supercritical
330.67	60.000	60.655	0.016487	234.60	333.52	5.7013	0.75474	1.1153	385.09	0.13309	2.0234e-05	0.030372	supercritical
331.33	60.000	60.522	0.016523	235.12	334.26	5.7036	0.75471	1.1150	385.49	0.13242	2.0261e-05	0.030408	supercritical
332.00	60.000	60.389	0.016559	235.65	335.01	5.7058	0.75468	1.1146	385.88	0.13176	2.0288e-05	0.030445	supercritical
332.67	60.000	60.258	0.016595	236.18	335.75	5.7081	0.75465	1.1143	386.27	0.13110	2.0315e-05	0.030482	supercritical
333.33	60.000	60.127	0.016632	236.70	336.49	5.7103	0.75463	1.1139	386.67	0.13044	2.0342e-05	0.030518	supercritical
334.00	60.000	59.996	0.016668	237.23	337.23	5.7125	0.75460	1.1136	387.06	0.12978	2.0369e-05	0.030555	supercritical
334.67	60.000	59.866	0.016704	237.75	337.98	5.7147	0.75457	1.1132	387.45	0.12913	2.0396e-05	0.030592	supercritical
335.33	60.000	59.737	0.016740	238.28	338.72	5.7169	0.75455	1.1129	387.85	0.12848	2.0423e-05	0.030628	supercritical
336.00	60.000	59.608	0.016776	238.80	339.46	5.7192	0.75452	1.1125	388.24	0.12784	2.0450e-05	0.030665	supercritical
336.67	60.000	59.480	0.016812	239.33	340.20	5.7214	0.75450	1.1122	388.63	0.12719	2.0477e-05	0.030701	supercritical
337.33	60.000	59.353	0.016848	239.85	340.94	5.7236	0.75448	1.1119	389.02	0.12655	2.0504e-05	0.030738	supercritical
338.00	60.000	59.226	0.016884	240.38	341.68	5.7258	0.75445	1.1115	389.41	0.12591	2.0531e-05	0.030775	supercritical
338.67	60.000	59.100	0.016920	240.90	342.43	5.7279	0.75443	1.1112	389.79	0.12528	2.0558e-05	0.030811	supercritical
339.33	60.000	58.974	0.016956	241.43	343.17	5.7301	0.75441	1.1109	390.18	0.12465	2.0584e-05	0.030848	supercritical
340.00	60.000	58.849	0.016993	241.95	343.91	5.7323	0.75439	1.1106	390.57	0.12402	2.0611e-05	0.030885	supercritical
340.67	60.000	58.725	0.017029	242.48	344.65	5.7345	0.75437	1.1102	390.96	0.12339	2.0638e-05	0.030921	supercritical
341.33	60.000	58.601	0.017065	243.00	345.39	5.7367	0.75435	1.1099	391.34	0.12277	2.0665e-05	0.030958	supercritical
342.00	60.000	58.478	0.017101	243.52	346.13	5.7388	0.75433	1.1096	391.73	0.12214	2.0692e-05	0.030994	supercritical
342.67	60.000	58.355	0.017136	244.05	346.87	5.7410	0.75431	1.1093	392.12	0.12152	2.0719e-05	0.031031	supercritical
343.33	60.000	58.233	0.017172	244.57	347.61	5.7431	0.75429	1.1090	392.50	0.12091	2.0745e-05	0.031068	supercritical
344.00	60.000	58.111	0.017208	245.09	348.34	5.7453	0.75427	1.1087	392.88	0.12030	2.0772e-05	0.031104	supercritical
344.67	60.000	57.990	0.017244	245.62	349.08	5.7474	0.75426	1.1084	393.27	0.11968	2.0799e-05	0.031141	supercritical
345.33	60.000	57.870	0.017280	246.14	349.82	5.7496	0.75424	1.1081	393.65	0.11908	2.0826e-05	0.031178	supercritical
346.00	60.000	57.750	0.017316	246.66	350.56	5.7517	0.75423	1.1078	394.03	0.11847	2.0852e-05	0.031214	supercritical
346.67	60.000	57.630	0.017352	247.19	351.30	5.7538	0.75421	1.1075	394.42	0.11787	2.0879e-05	0.031251	supercritical
347.33	60.000	57.511	0.017388	247.71	352.04	5.7560	0.75420	1.1072	394.80	0.11727	2.0906e-05	0.031287	supercritical
348.00	60.000	57.393	0.017424	248.23	352.78	5.7581	0.75418	1.1069	395.18	0.11667	2.0933e-05	0.031324	supercritical
348.67	60.000	57.275	0.017460	248.76	353.51	5.7602	0.75417	1.1066	395.56	0.11607	2.0959e-05	0.031361	supercritical
349.33	60.000	57.158	0.017495	249.28	354.25	5.7623	0.75416	1.1064	395.94	0.11548	2.0986e-05	0.031397	supercritical
350.00	60.000	57.041	0.017531	249.80	354.99	5.7644	0.75414	1.1061	396.32	0.11489	2.1013e-05	0.031434	supercritical
350.67	60.000	56.925	0.017567	250.32	355.73	5.7665	0.75413	1.1058	396.70	0.11430	2.1039e-05	0.031470	supercritical
351.33	60.000	56.809	0.017603	250.85	356.46	5.7686	0.75412	1.1055	397.08	0.11371	2.1066e-05	0.031507	supercritical
352.00	60.000	56.694	0.017639	251.37	357.20	5.7707	0.75411	1.1053	397.45	0.11313	2.1093e-05	0.031544	supercritical
352.67	60.000	56.579	0.017674	251.89	357.94	5.7728	0.75410	1.1050	397.83	0.11255	2.1119e-05	0.031580	supercritical
353.33	60.000	56.465	0.017710	252.41	358.67	5.7749	0.75409	1.1047	398.21	0.11197	2.1146e-05	0.031617	supercritical
354.00	60.000	56.351	0.017746	252.93	359.41	5.7770	0.75408	1.1045	398.58	0.11140	2.1172e-05	0.031653	supercritical
354.67	60.000	56.238	0.017782	253.46	360.15	5.7791	0.75408	1.1042	398.96	0.11082	2.1199e-05	0.031690	supercritical
355.33	60.000	56.125	0.017817	253.98	360.88	5.7811	0.75407	1.1039	399.33	0.11025	2.1225e-05	0.031727	supercritical
356.00	60.000	56.013	0.017853	254.50	361.62	5.7832	0.75406	1.1037	399.71	0.10968	2.1252e-05	0.031763	supercritical
356.67	60.000	55.901	0.017889	255.02	362.35	5.7853	0.75405	1.1034	400.08	0.10911	2.1279e-05	0.031800	supercritical
357.33	60.000	55.790	0.017924	255.54	363.09	5.7873	0.75405	1.1032	400.46	0.10855	2.1305e-05	0.031836	supercritical
358.00	60.000	55.679	0.017960	256.06	363.82	5.7894	0.75404	1.1029	400.83	0.10799	2.1332e-05	0.031873	supercritical
358.67	60.000	55.569	0.017996	256.59	364.56	5.7914	0.75404	1.1027	401.20	0.10743	2.1358e-05	0.031910	supercritical
359.33	60.000	55.459	0.018031	257.11	365.30	5.7935	0.75403	1.1024	401.57	0.10687	2.1384e-05	0.031946	supercritical
360.00	60.000	55.349	0.018067	257.63	366.03	5.7955	0.75403	1.1022	401.95	0.10632	2.1411e-05	0.031983	supercritical
360.67	60.000	55.241	0.018103	258.15	366.76	5.7976	0.75403	1.1019	402.32	0.10576	2.1437e-05	0.032019	supercritical
361.33	60.000	55.132	0.018138	258.67	367.50	5.7996	0.75402	1.1017	402.69	0.10521	2.1464e-05	0.032056	supercritical
362.00	60.000	55.024	0.018174	259.19	368.23	5.8016	0.75402	1.1014	403.06	0.10466	2.1490e-05	0.032092	supercritical
362.67	60.000	54.917	0.018209	259.71	368.97	5.8037	0.75402	1.1012	403.43	0.10412	2.1517e-05	0.032129	supercritical
363.33	60.000	54.809	0.018245	260.23	369.70	5.8057	0.75402	1.1010	403.80	0.10357	2.1543e-05	0.032166	supercritical
364.00	60.000	54.703	0.018281	260.75	370.44	5.8077	0.75402	1.1007	404.16	0.10303	2.1569e-05	0.032202	supercritical
364.67	60.000	54.597	0.018316	261.27	371.17	5.8097	0.75402	1.1005	404.53	0.10249	2.1596e-05	0.032239	supercritical
365.33	60.000	54.491	0.018352	261.79	371.90	5.8117	0.75402	1.1003	404.90	0.10196	2.1622e-05	0.032275	supercritical
366.00	60.000	54.386	0.018387	262.31	372.64	5.8137	0.75402	1.1001	405.27	0.10142	2.1648e-05	0.032312	supercritical
366.67	60.000	54.281	0.018423	262.83	373.37	5.8157	0.75402	1.0998	405.63	0.10089	2.1675e-05	0.032349	supercritical
367.33	60.000	54.176	0.018458	263.35	374.10	5.8177	0.75402	1.0996	406.00	0.10036	2.1701e-05	0.032385	supercritical
368.00	60.000	54.072	0.018494	263.87	374.84	5.8197	0.75403	1.0994	406.36	0.099827	2.1727e-05	0.032422	supercritical
