#Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
128.67	60.000	515.97	0.0019381	-12.889	-1.2601	3.9311	0.94759	3.2519	364.34	0.10540	3.7527e-05	0.060810	supercritical
129.33	60.000	508.43	0.0019668	-10.865	0.93639	3.9481	0.94937	3.3387	355.53	0.11382	3.6559e-05	0.059695	supercritical
130.00	60.000	500.60	0.0019976	-8.7924	3.1933	3.9655	0.95141	3.4334	346.69	0.12291	3.5587e-05	0.058580	supercritical
130.67	60.000	492.44	0.0020307	-6.6679	5.5162	3.9833	0.95371	3.5368	337.82	0.13274	3.4610e-05	0.057464	supercritical
131.33	60.000	483.95	0.0020663	-4.4870	7.9110	4.0016	0.95629	3.6494	328.94	0.14336	3.3627e-05	0.056350	supercritical
132.00	60.000	475.08	0.0021049	-2.2451	10.384	4.0204	0.95913	3.7719	320.09	0.15486	3.2637e-05	0.055236	supercritical
132.67	60.000	465.82	0.0021467	0.062096	12.943	4.0397	0.96223	3.9045	311.30	0.16730	3.1643e-05	0.054125	supercritical
133.33	60.000	456.15	0.0021923	2.4388	15.592	4.0596	0.96555	4.0469	302.63	0.18073	3.0643e-05	0.053017	supercritical
134.00	60.000	446.04	0.0022420	4.8886	18.340	4.0802	0.96904	4.1981	294.11	0.19520	2.9639e-05	0.051914	supercritical
134.67	60.000	435.49	0.0022963	7.4137	21.191	4.1014	0.97263	4.3557	285.84	0.21072	2.8634e-05	0.050814	supercritical
135.33	60.000	424.50	0.0023557	10.014	24.149	4.1233	0.97619	4.5159	277.88	0.22729	2.7632e-05	0.049719	supercritical
136.00	60.000	413.09	0.0024208	12.687	27.212	4.1459	0.97957	4.6730	270.34	0.24482	2.6638e-05	0.048626	supercritical
136.67	60.000	401.33	0.0024917	15.426	30.377	4.1691	0.98259	4.8193	263.30	0.26321	2.5659e-05	0.047532	supercritical
137.33	60.000	389.28	0.0025689	18.220	33.633	4.1929	0.98503	4.9453	256.84	0.28225	2.4703e-05	0.046434	supercritical
138.00	60.000	377.05	0.0026521	21.051	36.964	4.2171	0.98668	5.0411	251.05	0.30170	2.3779e-05	0.045326	supercritical
138.67	60.000	364.79	0.0027413	23.898	40.346	4.2415	0.98735	5.0975	245.98	0.32125	2.2898e-05	0.044207	supercritical
139.33	60.000	352.65	0.0028357	26.736	43.750	4.2660	0.98693	5.1082	241.64	0.34055	2.2069e-05	0.043077	supercritical
140.00	60.000	340.77	0.0029346	29.539	47.146	4.2903	0.98536	5.0713	238.03	0.35927	2.1298e-05	0.041939	supercritical
140.67	60.000	329.29	0.0030368	32.281	50.502	4.3143	0.98269	4.9900	235.11	0.37708	2.0590e-05	0.040803	supercritical
141.33	60.000	318.34	0.0031413	34.943	53.791	4.3376	0.97905	4.8715	232.82	0.39376	1.9947e-05	0.039682	supercritical
142.00	60.000	307.97	0.0032471	37.509	56.991	4.3602	0.97462	4.7254	231.09	0.40913	1.9368e-05	0.038588	supercritical
142.67	60.000	298.23	0.0033531	39.969	60.088	4.3819	0.96958	4.5618	229.84	0.42310	1.8849e-05	0.037534	supercritical
143.33	60.000	289.14	0.0034586	42.320	63.072	4.4028	0.96412	4.3895	228.98	0.43566	1.8387e-05	0.036529	supercritical
144.00	60.000	280.67	0.0035630	44.562	65.940	4.4228	0.95841	4.2156	228.46	0.44684	1.7976e-05	0.035581	supercritical
144.67	60.000	272.79	0.0036658	46.698	68.693	4.4418	0.95259	4.0452	228.21	0.45671	1.7611e-05	0.034692	supercritical
145.33	60.000	265.47	0.0037669	48.733	71.335	4.4601	0.94676	3.8816	228.18	0.46536	1.7286e-05	0.033864	supercritical
146.00	60.000	258.66	0.0038661	50.674	73.871	4.4775	0.94100	3.7267	228.33	0.47289	1.6997e-05	0.033096	supercritical
146.67	60.000	252.32	0.0039632	52.527	76.306	4.4941	0.93536	3.5816	228.62	0.47938	1.6738e-05	0.032385	supercritical
147.33	60.000	246.41	0.0040582	54.299	78.648	4.5100	0.92988	3.4465	229.03	0.48495	1.6507e-05	0.031728	supercritical
148.00	60.000	240.90	0.0041512	55.997	80.904	4.5253	0.92459	3.3212	229.53	0.48968	1.6300e-05	0.031122	supercritical
148.67	60.000	235.73	0.0042421	57.626	83.079	4.5400	0.91949	3.2053	230.10	0.49366	1.6114e-05	0.030563	supercritical
149.33	60.000	230.89	0.0043312	59.193	85.179	4.5541	0.91459	3.0981	230.74	0.49696	1.5947e-05	0.030048	supercritical
150.00	60.000	226.33	0.0044183	60.702	87.211	4.5676	0.90989	2.9991	231.43	0.49966	1.5796e-05	0.029573	supercritical
150.67	60.000	222.04	0.0045037	62.158	89.180	4.5807	0.90539	2.9076	232.15	0.50182	1.5660e-05	0.029134	supercritical
151.33	60.000	217.99	0.0045873	63.566	91.090	4.5934	0.90108	2.8230	232.91	0.50349	1.5536e-05	0.028729	supercritical
152.00	60.000	214.16	0.0046693	64.929	92.945	4.6056	0.89695	2.7446	233.70	0.50472	1.5424e-05	0.028355	supercritical
152.67	60.000	210.53	0.0047498	66.252	94.750	4.6175	0.89299	2.6719	234.50	0.50557	1.5322e-05	0.028008	supercritical
153.33	60.000	207.09	0.0048288	67.536	96.509	4.6290	0.88920	2.6043	235.33	0.50607	1.5229e-05	0.027688	supercritical
154.00	60.000	203.81	0.0049064	68.785	98.224	4.6401	0.88557	2.5415	236.17	0.50626	1.5145e-05	0.027391	supercritical
154.67	60.000	200.69	0.0049827	70.002	99.899	4.6510	0.88208	2.4829	237.01	0.50617	1.5068e-05	0.027116	supercritical
155.33	60.000	197.72	0.0050577	71.189	101.54	4.6615	0.87874	2.4282	237.87	0.50582	1.4998e-05	0.026860	supercritical
156.00	60.000	194.87	0.0051316	72.347	103.14	4.6718	0.87553	2.3771	238.73	0.50525	1.4934e-05	0.026623	supercritical
156.67	60.000	192.15	0.0052043	73.480	104.71	4.6819	0.87244	2.3292	239.60	0.50448	1.4876e-05	0.026403	supercritical
157.33	60.000	189.54	0.0052759	74.588	106.24	4.6917	0.86947	2.2842	240.47	0.50352	1.4823e-05	0.026198	supercritical
158.00	60.000	187.04	0.0053465	75.673	107.75	4.7012	0.86662	2.2420	241.34	0.50240	1.4775e-05	0.026007	supercritical
158.67	60.000	184.64	0.0054161	76.737	109.23	4.7106	0.86387	2.2023	242.21	0.50114	1.4731e-05	0.025830	supercritical
159.33	60.000	182.32	0.0054847	77.780	110.69	4.7197	0.86122	2.1648	243.09	0.49974	1.4691e-05	0.025664	supercritical
160.00	60.000	180.10	0.0055525	78.805	112.12	4.7287	0.85867	2.1295	243.96	0.49822	1.4655e-05	0.025510	supercritical
160.67	60.000	177.95	0.0056194	79.812	113.53	4.7375	0.85621	2.0960	244.83	0.49660	1.4622e-05	0.025367	supercritical
161.33	60.000	175.88	0.0056855	80.802	114.92	4.7461	0.85383	2.0644	245.69	0.49488	1.4593e-05	0.025233	supercritical
162.00	60.000	173.89	0.0057509	81.776	116.28	4.7545	0.85154	2.0344	246.56	0.49307	1.4566e-05	0.025108	supercritical
162.67	60.000	171.96	0.0058154	82.735	117.63	4.7628	0.84932	2.0060	247.42	0.49118	1.4542e-05	0.024992	supercritical
163.33	60.000	170.09	0.0058793	83.680	118.96	4.7710	0.84718	1.9790	248.28	0.48923	1.4521e-05	0.024884	supercritical
164.00	60.000	168.28	0.0059425	84.612	120.27	4.7790	0.84510	1.9533	249.14	0.48721	1.4502e-05	0.024783	supercritical
164.67	60.000	166.53	0.0060050	85.531	121.56	4.7869	0.84309	1.9288	249.99	0.48514	1.4485e-05	0.024689	supercritical
165.33	60.000	164.83	0.0060669	86.438	122.84	4.7946	0.84115	1.9055	250.84	0.48302	1.4470e-05	0.024601	supercritical
166.00	60.000	163.18	0.0061282	87.333	124.10	4.8022	0.83927	1.8832	251.68	0.48085	1.4457e-05	0.024519	supercritical
166.67	60.000	161.58	0.0061889	88.217	125.35	4.8097	0.83744	1.8620	252.52	0.47865	1.4446e-05	0.024443	supercritical
167.33	60.000	160.03	0.0062490	89.091	126.58	4.8171	0.83567	1.8416	253.35	0.47641	1.4437e-05	0.024372	supercritical
168.00	60.000	158.51	0.0063086	89.954	127.81	4.8244	0.83395	1.8222	254.19	0.47414	1.4430e-05	0.024306	supercritical
168.67	60.000	157.04	0.0063676	90.809	129.01	4.8316	0.83229	1.8036	255.01	0.47185	1.4423e-05	0.024245	supercritical
169.33	60.000	155.61	0.0064262	91.654	130.21	4.8387	0.83067	1.7857	255.83	0.46953	1.4419e-05	0.024188	supercritical
170.00	60.000	154.22	0.0064842	92.490	131.40	4.8457	0.82910	1.7686	256.65	0.46719	1.4416e-05	0.024135	supercritical
170.67	60.000	152.86	0.0065418	93.318	132.57	4.8526	0.82757	1.7522	257.47	0.46484	1.4413e-05	0.024086	supercritical
171.33	60.000	151.54	0.0065990	94.138	133.73	4.8594	0.82609	1.7364	258.27	0.46247	1.4413e-05	0.024041	supercritical
172.00	60.000	150.25	0.0066557	94.950	134.88	4.8661	0.82465	1.7212	259.08	0.46009	1.4413e-05	0.023999	supercritical
172.67	60.000	148.99	0.0067120	95.755	136.03	4.8727	0.82325	1.7066	259.88	0.45770	1.4414e-05	0.023961	supercritical
173.33	60.000	147.76	0.0067679	96.553	137.16	4.8792	0.82188	1.6926	260.67	0.45530	1.4417e-05	0.023925	supercritical
174.00	60.000	146.56	0.0068233	97.344	138.28	4.8857	0.82056	1.6790	261.46	0.45290	1.4420e-05	0.023893	supercritical
174.67	60.000	145.38	0.0068784	98.128	139.40	4.8921	0.81927	1.6660	262.25	0.45049	1.4425e-05	0.023863	supercritical
175.33	60.000	144.24	0.0069331	98.906	140.51	4.8984	0.81801	1.6534	263.03	0.44808	1.4430e-05	0.023836	supercritical
176.00	60.000	143.11	0.0069875	99.678	141.60	4.9047	0.81678	1.6412	263.81	0.44567	1.4436e-05	0.023812	supercritical
176.67	60.000	142.02	0.0070415	100.44	142.69	4.9109	0.81559	1.6295	264.58	0.44326	1.4443e-05	0.023790	supercritical
177.33	60.000	140.94	0.0070951	101.21	143.78	4.9170	0.81443	1.6181	265.35	0.44085	1.4451e-05	0.023770	supercritical
178.00	60.000	139.89	0.0071485	101.96	144.85	4.9230	0.81329	1.6072	266.12	0.43844	1.4459e-05	0.023752	supercritical
178.67	60.000	138.86	0.0072015	102.71	145.92	4.9290	0.81219	1.5966	266.88	0.43604	1.4468e-05	0.023736	supercritical
179.33	60.000	137.85	0.0072542	103.45	146.98	4.9350	0.81111	1.5863	267.63	0.43365	1.4478e-05	0.023722	supercritical
180.00	60.000	136.86	0.0073065	104.19	148.03	4.9408	0.81006	1.5764	268.38	0.43125	1.4489e-05	0.023710	supercritical
180.67	60.000	135.89	0.0073586	104.93	149.08	4.9466	0.80904	1.5667	269.13	0.42887	1.4500e-05	0.023700	supercritical
181.33	60.000	134.94	0.0074104	105.66	150.12	4.9524	0.80804	1.5574	269.87	0.42649	1.4511e-05	0.023692	supercritical
182.00	60.000	134.01	0.0074620	106.39	151.16	4.9581	0.80706	1.5484	270.61	0.42412	1.4524e-05	0.023685	supercritical
182.67	60.000	133.10	0.0075132	107.11	152.19	4.9637	0.80611	1.5396	271.35	0.42176	1.4536e-05	0.023679	supercritical
183.33	60.000	132.20	0.0075642	107.83	153.21	4.9693	0.80518	1.5311	272.08	0.41940	1.4550e-05	0.023675	supercritical
184.00	60.000	131.32	0.0076149	108.54	154.23	4.9749	0.80427	1.5228	272.81	0.41706	1.4563e-05	0.023673	supercritical
184.67	60.000	130.46	0.0076654	109.25	155.24	4.9804	0.80338	1.5148	273.53	0.41473	1.4578e-05	0.023672	supercritical
185.33	60.000	129.61	0.0077156	109.96	156.25	4.9858	0.80251	1.5070	274.25	0.41240	1.4592e-05	0.023672	supercritical
186.00	60.000	128.77	0.0077656	110.66	157.25	4.9912	0.80167	1.4994	274.97	0.41009	1.4607e-05	0.023673	supercritical
186.67	60.000	127.95	0.0078154	111.36	158.25	4.9966	0.80084	1.4921	275.68	0.40779	1.4623e-05	0.023675	supercritical
187.33	60.000	127.15	0.0078649	112.05	159.24	5.0019	0.80003	1.4849	276.39	0.40550	1.4639e-05	0.023679	supercritical
188.00	60.000	126.35	0.0079142	112.74	160.23	5.0071	0.79924	1.4779	277.09	0.40322	1.4655e-05	0.023683	supercritical
188.67	60.000	125.58	0.0079633	113.43	161.21	5.0123	0.79846	1.4711	277.80	0.40095	1.4672e-05	0.023689	supercritical
189.33	60.000	124.81	0.0080122	114.12	162.19	5.0175	0.79770	1.4645	278.49	0.39870	1.4689e-05	0.023695	supercritical
190.00	60.000	124.06	0.0080609	114.80	163.16	5.0227	0.79696	1.4581	279.19	0.39645	1.4707e-05	0.023703	supercritical
190.67	60.000	123.31	0.0081093	115.48	164.13	5.0277	0.79624	1.4518	279.88	0.39422	1.4724e-05	0.023711	supercritical
191.33	60.000	122.59	0.0081576	116.15	165.10	5.0328	0.79553	1.4457	280.57	0.39200	1.4743e-05	0.023721	supercritical
192.00	60.000	121.87	0.0082057	116.83	166.06	5.0378	0.79483	1.4398	281.25	0.38980	1.4761e-05	0.023731	supercritical
192.67	60.000	121.16	0.0082536	117.50	167.02	5.0428	0.79415	1.4340	281.93	0.38761	1.4780e-05	0.023742	supercritical
193.33	60.000	120.46	0.0083013	118.17	167.97	5.0477	0.79349	1.4283	282.61	0.38543	1.4799e-05	0.023753	supercritical
