t,epsilon
0.10916556168590485, 0.03812033857671171
0.37555100457700696, 0.03902945292617388
0.6419186635410847, 0.03965260172909146
0.9084285939213528, 0.04256347490436463
1.1748673885935261, 0.04433048589345989
1.4414128868278429, 0.047813290161821786
1.7079939529162074, 0.05186802552327263
1.9746817225667153, 0.057638554163989886
2.241405060071272, 0.06398101389779609
2.508181749356898, 0.07118137027123561
2.7750295743506213, 0.07952558883085281
3.0420848784929566, 0.09120607210015486
3.3093387698203927, 0.10607983730586956
3.5766934367342973, 0.1225740739420027
3.7997483414316493, 0.14048960202588634
3.983049055659759, 0.16154306846528454
4.135229675988736, 0.18181845252953277
4.291785142365594, 0.20106521425471802
4.460163363427945, 0.23198150435015874
4.583512681265763, 0.2525944984850288
4.718030305274594, 0.27435348887731936
4.897194478076944, 0.30026751597947554
4.987015758296591, 0.31707076613157603
5.1437864101904385, 0.339777710969949
5.34497064143379, 0.3628935438584556
5.523844224868569, 0.38413489393007594
5.7469371871697525, 0.4026623882835646
5.947957806284483, 0.42314733814386263
6.158030444254383, 0.4464364576172902
6.2833359940648315, 0.4628175884775513
6.403430853257277, 0.49057900991895087
6.485930490721179, 0.5086104892070306
6.609226456777925, 0.5283655867022674
6.783785862761585, 0.5567094063480899
7.0227694498101005, 0.5758433366779916
7.161637200208251, 0.5961762126215225
7.291809143809521, 0.6194328088492088
7.344531373864596, 0.6344845555965788
7.467219129617122, 0.6563556558648281
7.539663734741712, 0.6792465576443363
7.647633512489254, 0.7023730608890573
7.742284907288596, 0.7254684066936322
7.884251032732607, 0.7480390555152938
7.945350678011076, 0.7788393944065387
8.080312900195507, 0.8077475234624399
8.188620572556502, 0.8363073720915049
8.283538726261202, 0.8636922010942463
8.411076158913149, 0.8921699591161689
8.486124330954038, 0.9093421190504534
8.576413328454413, 0.9336662630766722
8.684408003699788, 0.9571931180865554
8.756937971674091, 0.9814566544894767
8.957604690641046, 0.9962508899735406
9.178968343878426, 0.9869710945810498
9.321791061807422, 0.9638356282371089
9.393269644016069, 0.9355048081338285
9.518499078618856, 0.9149739330603841
9.705845636244906, 0.8940203411551523
9.971420132063718, 0.8818894265821887
10.23730762499815, 0.874791505628407
10.4584640954857, 0.8621802116186736
10.634871759599346, 0.8437695790064443
10.811239409877187, 0.8247155239144899
10.987273611523328, 0.8002996148248277
11.18563909033339, 0.7780899085860432
11.339715477283116, 0.7574730731229361
11.493848772799318, 0.737771327408771
11.633128932465151, 0.7171516465173402
11.823893560865194, 0.6916805103337873
11.977706745694965, 0.6668313847818227
12.153774736802452, 0.6429588102305949
12.27890956091347, 0.6158083022503205
12.399237033871389, 0.5929283269155757
12.504224802735562, 0.5681041273157278
12.635747613433567, 0.5417065196699375
12.802952095312344, 0.5180610102989509
13.010319797981905, 0.49785477014297175
13.231071684129661, 0.47873775994935275
13.49630117176421, 0.46105911377342734
13.761441739763638, 0.4419506398647799
13.982362573218124, 0.425550302363333
14.203265622745581, 0.4088639993153417
14.4685484621612, 0.3920432497790495
14.68930034830896, 0.3729262395854306
14.910052234456716, 0.3538092293918117
15.15328300436269, 0.33927193608538897
15.396353718925448, 0.3221609528600671
15.661636558341067, 0.3053402033237749
15.927150588807995, 0.2922370058925603
16.19266461927493, 0.2791338084613455
16.458320921158048, 0.2683183354024865
16.723852735552, 0.2555011035178163
16.98947346958108, 0.24411369936586813
17.255289826807413, 0.23587191622590886
17.52101726439863, 0.22620030535322733
17.786798053770916, 0.2173865911201791
18.05254327528916, 0.20800094579404194
18.31822328907498, 0.1975667601305755
18.58410485403374, 0.19037351732794527
18.845404093796, 0.1808726321546934
19.115755352413437, 0.17417591659457088
19.38164284534787, 0.1670779956407893
19.647494770428253, 0.15940814359391875
19.891269728501157, 0.15362139601175562
