x,YO2
0.003729859533153218, 0.23364038489952707
0.011442533272345207, 0.23335813492063479
0.01980091923156263, 0.23335813492063479
0.029450729630830785, 0.23335813492063479
0.03536975831439676, 0.23335813492063479
0.0474230530882038, 0.2329475894967915
0.055135726827395815, 0.2329475894967915
0.06349411278661324, 0.2329475894967915
0.07320371135440223, 0.2329475894967915
0.07906295186944734, 0.2329475894967915
0.09161846725882972, 0.2329475894967915
0.09933114099802173, 0.2329475894967915
0.10768952695723913, 0.2329475894967915
0.11733933735650723, 0.23294758949679154
0.12325836604007326, 0.23294758949679154
0.13531166081388032, 0.23294758949679154
0.1430243345530723, 0.23294758949679154
0.1513827205122897, 0.2328577826853258
0.16103253091155786, 0.2323317713610266
0.16720266990291147, 0.23197596532702905
0.1790048543689309, 0.23015074879685907
0.18723569223530387, 0.22751926667041905
0.1943225831439774, 0.22401033142389515
0.20286033360875746, 0.21595100894967909
0.20938920161123634, 0.20592623614565092
0.21332326309990954, 0.19733277397838558
0.21583436617778598, 0.1926115016041877
0.21879442404837376, 0.1834528730092939
0.2206054620257514, 0.17661489241086498
0.22289335594114998, 0.17036222043979127
0.22561092749431852, 0.1602331525104131
0.22696692315637187, 0.15355983439475068
0.22914321249053152, 0.14650496969867532
0.23142413111960267, 0.1372562936226499
0.23249134992770024, 0.13049304650938381
0.23466763926185988, 0.1232407290142219
0.23694855789093103, 0.1136511536130409
0.23801577669902854, 0.10689645952943821
0.24019206603318824, 0.09965717522233475
0.24253576223920628, 0.08917751453418243
0.2452142721889413, 0.07860205991379998
0.2461517506713485, 0.07218386645438313
0.24856240962610995, 0.06478818389057744
0.25148442048036623, 0.055029465848234815
0.2530823951662876, 0.048729992883678186
0.2558446085519518, 0.04204396740965882
0.2591090425531912, 0.03429247881185571
0.2621223662466431, 0.02952233198243831
0.26739568271018366, 0.02013843658030584
0.2754312125593884, 0.01115042426545082
0.28426572975155384, 0.005903529341029279
0.29100005164222253, 0.003239568821766292
0.2990355814914273, 0.0017280161485890844
0.30707111134063203, 0.000964568469970728
0.31510664118983667, 0.0006199077592029534
0.3231421710390414, 0.0014400641499212052
0.33117770088824616, 0.0019971778666647566
0.3392132307374508, 0.0034177041704192557
0.3470143909660537, 0.006406815385728848
0.3562887316670108, 0.012741287782843613
0.36249474355947686, 0.019933163868384174
0.366082033670729, 0.024419838857528797
0.3701556008859508, 0.032837106145321204
0.3732135664118982, 0.03826303955388294
0.375715538205855, 0.045525605874200015
0.37863754906011127, 0.05488084307304475
0.38026976606073093, 0.05944816091330141
0.38240420367692585, 0.06777343561538085
0.38499901019073157, 0.07767778966065014
0.3872590029608204, 0.0856302065743555
0.3886819613716169, 0.092482405196121
0.3904397335261304, 0.10036585482301669
0.39194639537285625, 0.10543902327479454
0.3937599698179892, 0.11442377729263492
0.3959641602974585, 0.1240577469906402
0.39772193245197207, 0.13012942056255122
0.3994797046064855, 0.13850161474164135
0.40148858706878665, 0.14800867377092675
0.40274413860772496, 0.1524630916196265
0.40500413137781366, 0.16170622859072703
0.40751523445569005, 0.17057767532988366
0.40935671004613283, 0.1762238967691095
0.4122406738840577, 0.18530565917533998
0.41479743338153174, 0.19393795431884334
0.4175596467671958, 0.1988038950804908
0.42207963230737355, 0.20826354588821339
0.4296129415410028, 0.21837322695035455
0.43915513323693345, 0.2258656809354947
0.44749199545548324, 0.22910898978385671
0.45497508262755515, 0.2308674926826522
0.46727948770914984, 0.2323189418165315
0.4749921614483419, 0.23271299211173826
0.48335054740755934, 0.2329475894967916
0.4930003578068275, 0.2329475894967916
0.49891938649039347, 0.2329475894967916
0.5109726812642005, 0.23298607813027689
0.5186853550033925, 0.23335813492063487
0.5270437409626099, 0.23335813492063487
0.5367533395303988, 0.23335813492063487
0.542612580045444, 0.23335813492063487
0.5586836397438534, 0.23335813492063487
0.5697324932865099, 0.23335813492063487
0.5774451670257019, 0.23335813492063487
0.5858035529849194, 0.23335813492063487
0.5954533633841875, 0.23335813492063487
0.6013723920677534, 0.23335813492063487
0.6134256868415605, 0.23335813492063487
0.6211383605807526, 0.23335813492063487
