t,temp
0.0036824553917154113, 1802.7000198530873
0.0036824553917154113, 1789.460846875975
0.0036824553917154113, 1776.2216738988627
0.0036824553917154113, 1762.9825009217507
0.0036824553917154113, 1749.7433279446384
0.0036824553917154113, 1736.5041549675261
0.0036824553917154113, 1723.2649819904138
0.0036824553917154113, 1710.0258090133016
0.0036824553917154113, 1696.7866360361895
0.0036824553917154113, 1683.5474630590772
0.0036824553917154113, 1670.308290081965
0.0036824553917154113, 1657.0691171048527
0.0036824553917154113, 1643.8299441277404
0.0036824553917154113, 1630.5907711506284
0.0036824553917154113, 1617.351598173516
0.0036824553917154113, 1590.8732522192915
0.005731776060352356, 1508.49617591726
0.006756436394670828, 1601.9058963668851
0.006756436394670828, 1577.6340792421793
0.006756436394670828, 1564.3949062650672
0.006756436394670828, 1551.155733287955
0.006756436394670828, 1537.9165603108427
0.006756436394670828, 1524.6773873337306
0.009830417397626245, 1498.199041379506
0.009830417397626245, 1484.9598684023938
0.009830417397626245, 1471.7206954252815
0.009830417397626245, 1458.4815224481695
0.01187973806626319, 1401.111772880683
0.012904398400581663, 1443.0358206415385
0.012904398400581663, 1429.7966476644262
0.012904398400581663, 1416.557474687314
0.01597837940353708, 1387.872599903571
0.01597837940353708, 1374.6334269264585
0.019052360406492497, 1361.3942539493464
0.019052360406492497, 1348.1550809722341
0.019052360406492497, 1336.0191724098813
0.022126341409447914, 1321.6767350180098
0.022126341409447914, 1284.1657449161917
0.025200322412403553, 1304.02450438186
0.025200322412403553, 1290.785331404748
0.02827430341535897, 1273.133100768598
0.030323624083995915, 1242.2416971553362
0.03134828441831439, 1257.6873989619671
0.034422265421269804, 1229.0025241782241
0.03749624642422522, 1215.7633512011118
0.03749624642422522, 1202.5241782239996
0.043644208430136056, 1187.0784764173686
0.043644208430136056, 1174.9425678550158
0.04876751010172864, 1155.4515631942672
0.05286615143900253, 1145.1544286565133
0.055940132441957946, 1131.915255679401
0.05901411344491336, 1107.6434385546954
0.06208809444786878, 1114.2630250432514
0.06721139611946136, 1092.1977367480645
0.07438401845969067, 1076.7520349414335
0.0805319804656015, 1061.3063331348026
0.08667994247151234, 1045.8606313281716
0.0928279044774234, 1031.5181939363001
0.09897586648333423, 1018.2790209591878
0.10512382848924506, 1008.3496412263537
0.1112717904951559, 996.2137326640008
0.12049373350402237, 981.8712952721291
0.13278965751584404, 964.2190646359795
0.14508558152766593, 948.0378532195091
0.15943082620812477, 931.8566418030384
0.1727514105542649, 917.8819592160867
0.1850473345660868, 905.7460506537338
0.19734325857790846, 895.8166709208997
0.20963918258973036, 883.6807623585469
0.22500908760450766, 871.544853796194
0.24345297362224017, 858.3056808190818
0.2618968596399729, 845.802017451809
0.2803407456577056, 834.0338636943759
0.29878463167543834, 823.7367291566222
0.31722851769317106, 813.4395946188681
0.3356724037109038, 804.6134793007932
0.3541162897286363, 796.522873592558
0.372560175746369, 788.4322678843228
0.39100406176410174, 779.606152566248
0.40944794778183446, 773.7220756875313
0.4278918337995672, 766.3669795891358
0.4463357198172999, 760.482902710419
0.4647796058350324, 753.863316221863
0.48322349185276514, 748.7147489529862
0.5016673778704979, 742.8306720742694
0.5201112638882306, 737.6821048053926
0.5385551499059633, 733.2690471463552
0.556999035923696, 727.3849702676384
0.5754429219414285, 722.9719126086011
0.5938868079591613, 718.5588549495637
0.612330693976894, 714.8813069003659
0.6307745799946267, 710.4682492413285
0.6492184660123594, 706.7907011921309
0.6676623520300922, 702.3776435330933
0.6861062380478247, 699.4356050937349
0.7045501240655574, 695.7580570445373
0.7229940100832901, 692.0805089953392
0.7414378961010228, 688.4029609461415
0.7598817821187556, 684.7254128969437
0.7783256681364883, 681.7833744575853
0.7967695541542208, 678.8413360182271
0.8152134401719535, 675.899297578869
0.8336573261896862, 672.9572591395106
0.852101212207419, 670.0152207001522
0.8705450982251517, 667.073182260794
0.8889889842428842, 664.1311438214357
0.9074328702606171, 661.924614991917
0.9258767562783496, 658.2470669427194
0.9443206422960826, 656.7760477230399
0.9627645283138151, 653.0984996738423
0.9812084143315476, 650.8919708443236
0.9996523003492805, 648.6854420148047
1.018096186367013, 645.7434035754466
1.036540072384746, 643.5368747459277
1.0549839584024785, 640.5948363065697
1.073427844420211, 638.3883074770511
1.091871730437944, 635.4462690376927
1.1103156164556764, 633.9752498180135
1.1287595024734094, 631.0332113786551
1.147203388491142, 628.8266825491364
1.1656472745088748, 626.6201537196177
1.1840911605266073, 623.6781152802594
1.2025350465443398, 622.2070960605804
1.2209789325620728, 619.265057621222
1.2394228185798053, 617.794038401543
1.2578667045975382, 614.8519999621847
1.2763105906152707, 613.3809807425055
1.2947544766330032, 610.4389423031473
1.3131983626507362, 608.9679230834681
1.3316422486684687, 606.0258846441097
1.3500861346862016, 604.5548654244308
1.3685300207039341, 600.8773173752329
1.386973906721667, 600.1418077653934
1.4054177927393996, 597.9352789358745
1.423861678757132, 595.7287501063558
1.442305564774865, 594.9932404965164
1.4607494507925975, 592.0512020571582
1.4791933368103305, 589.8446732276395
1.497637222828063, 587.6381443981209
1.5160811088457955, 586.1671251784414
1.5345249948635284, 583.9605963489228
1.552968880881261, 582.4895771292438
1.571412766898994, 580.2830482997249
1.5898566529167264, 578.0765194702062
1.6083005389344593, 577.3410098603667
1.6267444249521918, 575.1344810308478
1.6451883109699244, 573.6634618111689
1.6636321969876573, 571.4569329816502
1.6820760830053898, 569.9859137619712
1.7005199690231227, 568.5148945422918
1.7189638550408552, 567.0438753226128
1.7374077410585878, 564.8373464930942
1.7558516270763207, 564.1018368832545
