x,YH2
0.004734300764304866, 0.0
0.012769830613509559, 0.0
0.0220609120016525, 0.0
0.032858655236521345, 0.0
0.04089418508572604, 0.0
0.04925257104494346, 0.0
0.05857952533419891, 0.0
0.06500077463334017, 0.0
0.07228297355918192, 0.0
0.0824708774751379, 0.0
0.09212068787440605, 0.0
0.10015621772361075, 0.0
0.10916031590285355, 0.0
0.12074726296219782, 0.0
0.1287827928114025, 0.0
0.1371411787706199, 0.0
0.14646813305987536, 0.0
0.15288938235901664, 0.0
0.16017158128485845, 0.0
0.17096932451972727, 0.0003
0.18000929560008253, 0.0008
0.18804482544928727, 0.0016565613390746026
0.19705689538433283, 0.002631606720702395
0.20763142945672372, 0.005800504210992874
0.21566695930592836, 0.009585219837048242
0.22515120246929257, 0.017127018224092627
0.23249134992770068, 0.023853647091678976
0.2393131799559318, 0.030514483423392913
0.24582302445024476, 0.03765859583678732
0.2519942504992079, 0.042437406774175346
0.2598121514149966, 0.04750422154677464
0.2685005680644492, 0.051055439463019214
0.27593343317496355, 0.0529747393194866
0.2829645217930177, 0.05401820893842163
0.2935470276212113, 0.05488817424132769
0.30255112580045407, 0.05523273915062471
0.3105866556496588, 0.055386693684565946
0.32023646604892697, 0.055386693684565946
0.3306754802726706, 0.0551172732501688
0.3387110101218753, 0.054770875548801
0.34674653997107996, 0.054155057413036056
0.35578651105143533, 0.052666830251604124
0.36281759966948945, 0.050793716755319074
0.3695975779797559, 0.04812750414479133
0.38006694619674875, 0.040970233224222496
0.3871752995248914, 0.03479626165796379
0.39397459401267987, 0.02822753487647106
0.4024930282999378, 0.01915606003039516
0.4092730066102044, 0.013473738141291325
0.4174911621378, 0.008062003008811547
0.4260973972319767, 0.004517549761482609
0.43388181677339377, 0.0025631824833952654
0.44521765352495046, 0.0013
0.4542217517041932, 0.0005
0.46225728155339796, 0.0003
0.4719070919526661, 0.0
0.4823461061764097, 0.0
0.49038163602561446, 0.0
0.4987400219848318, 0.0
0.5074212640540618, 0.0
0.5144882255732285, 0.0
0.522021534806858, 0.0
0.533106261250627, 0.0
0.5421103594298697, 0.0
0.5501458892790744, 0.0
0.5594369706672174, 0.0
0.5702347139020862, 0.0
0.5782702437512909, 0.0
0.5866286297105083, 0.0
0.5960153721682846, 0.0
0.602376833298905, 0.0
0.6096590322247468, 0.0
0.620205665151828, 0.0
