x,YH2,YO2,YN2,Tadiabatic,pressure,YH2equ,YO2equ,YN2equ,YH2Oequ,YHequ,YOequ,YOHequ,YHO2equ,YH2O2equ
0.0,8.36625722490809e-10,0.23290921445413934,0.767090784709235,300.0000994132024,101325.00000000016,2.9647653913577597e-49,0.232909207814668,0.7670907847092345,7.476097488409257e-09,3.0191803101629813e-61,1.1699582710228768e-41,1.2300623241072786e-30,2.2651039693907873e-29,2.250544092771488e-30
2.463994238109642e-05,1.0100019819076716e-09,0.23290921372793694,0.7670907852620611,300.00012001487295,101324.99999999978,3.579185707740266e-49,0.23290920571254964,0.7670907852620606,9.025389678934673e-09,3.317329473688925e-61,1.1699662936755154e-41,1.3515263275558537e-30,2.4887727155273362e-29,2.7169384134900342e-30
4.927988476219284e-05,1.2193074815999862e-09,0.2329092128512416,0.7670907859294509,300.0001448858865,101325.00000000054,4.320945024012638e-49,0.23290920317480213,0.7670907859294516,1.0895746146975281e-08,3.6449284566465684e-61,1.1699759789571868e-41,1.4849857957625645e-30,2.734529840425493e-29,3.2799885821822605e-30
7.391982714328925e-05,1.4719879366123998e-09,0.2329092117928663,0.7670907867351457,300.0001749109895,101324.99999999958,5.216437099409512e-49,0.23290920011115243,0.7670907867351459,1.3153701818425449e-08,4.004888454241992e-61,1.1699876714514742e-41,1.6316257960470842e-30,3.0045573383403075e-29,3.959726475570762e-30
9.855976952438568e-05,1.7770320573516234e-09,0.23290921051516095,0.767090787707807,300.0002111582748,101325.0000000002,6.297527570223317e-49,0.23290919641261337,0.767090787707807,1.587957969070119e-08,4.400409179892595e-61,1.1700017871651468e-41,1.7927486096388124e-30,3.3012529632362817e-29,4.780335943471772e-30
0.0001231997119054821,2.1452913102800908e-09,0.23290920897267323,0.7670907888820355,300.00025491718213,101325.00000000016,7.602689102769411e-49,0.23290919194761697,0.7670907888820345,1.917034856732005e-08,4.835007761775693e-61,1.1700188283383983e-41,1.9697853952052112e-30,3.62725167893138e-29,5.77101369801562e-30
0.0001478396542865785,2.5898659445623155e-09,0.2329092071105315,0.7670907902996026,300.00030774437164,101325.00000000033,9.178372207897791e-49,0.2329091865573252,0.7670907902996018,2.3143072864634058e-08,5.3125505671897e-61,1.1700394013262546e-41,2.164309009424499e-30,3.9854492308176305e-29,6.967008722061576e-30
0.00017247959666767494,3.126570995925436e-09,0.23290920486249306,0.767090792010936,300.0003715190817,101324.99999999974,1.1080660127473726e-48,0.2329091800499882,0.7670907920109363,2.793907556140801e-08,5.8372881266524115e-61,1.1700642381820298e-41,2.378048042961862e-30,4.3790279436677296e-29,8.410876774618e-30
0.00019711953904877135,3.7744988990434945e-09,0.23290920214858746,0.7670907940769136,300.00044851000064,101325.00000000003,1.337726901887741e-48,0.23290917219411908,0.7670907940769136,3.3728967217148314e-08,6.413894105066173e-61,1.1700942227363118e-41,2.612902442235681e-30,4.811485423635343e-29,1.0153996221040824e-29
0.00022175948142986776,4.5566986857719705e-09,0.23290919887227174,0.7670907965710296,300.00054145595277,101325.00000000026,1.614996275053618e-48,0.2329091627102575,0.767090796571029,4.071871370808498e-08,7.04750800179603e-61,1.170130422072948e-41,2.870960566792314e-30,5.286665882691917e-29,1.2258397440859089e-29
0.0002463994238109642,5.500995858085498e-09,0.23290919491699622,0.767090799582008,300.000653663347,101325.0,1.9497471548920238e-48,0.23290915126102707,0.7670907995820083,4.9156964598986505e-08,7.743782744771495e-61,1.1701741245587404e-41,3.154518129552756e-30,5.808794902180583e-29,1.4798973026327768e-29
0.0002710393661920606,6.640982302882652e-09,0.23290919014205821,0.7670908032169594,300.0007891237759,101325.0,2.3539017300059677e-48,0.2329091374391434,0.7670908032169598,5.934389684487125e-08,8.508937154436087e-61,1.1702268857573225e-41,3.466098973824122e-30,6.382517541408809e-29,1.7866146038193773e-29
0.000295679308573157,8.017211233673056e-09,0.2329091843775968,0.767090807605192,300.0009526560345,101324.9999999999,2.841857550436581e-48,0.2329091207529133,0.7670908076051915,7.164189501068892e-08,9.349814526173882e-61,1.170290583907495e-41,3.808478147466072e-30,7.012940626856222e-29,2.156909387522691e-29
0.0003203192509542534,9.678639799256308e-09,0.23290917741855052,0.7670908129028097,300.00115007751486,101325.00000000048,3.431002545325505e-48,0.23290910060874898,0.7670908129028106,8.648844055900882e-08,1.0273947512686259e-60,1.1703674869208546e-41,4.1847072841914994e-30,7.705679224209649e-29,2.603964117278103e-29
0.0003449591933353499,1.1684370667044388e-08,0.2329091690173624,0.767090819298267,300.0013884111614,101324.9999999995,4.142337867795795e-48,0.23290907629005939,0.7670908192982652,1.0441167536405967e-07,1.128963075195658e-60,1.1704603333439604e-41,4.598142795777359e-30,8.466908199396073e-29,3.1436963604189424e-29
0.0003695991357164463,1.4105754507035681e-08,0.23290915887517358,0.7670908270190719,300.00167613530834,101324.99999999981,5.001231223484348e-48,0.23290904693173883,0.7670908270190709,1.2604919023624246e-07,1.2406002091945173e-60,1.1705724301899887e-41,5.052477108903624e-30,9.30341927046322e-29,3.7953271079855446e-29
0.0003942390780975427,1.7028928118558116e-08,0.23290914663119217,0.7670908363398797,300.0020234852593,101324.99999999999,6.038328278430217e-48,0.2329090114894149,0.7670908363398807,1.5217070438316833e-07,1.3633133648511583e-60,1.170707771167475e-41,5.551773300110354e-30,1.0222684163366022e-28,4.582067473246425e-29
