#VARIABLES  =  "X"  "temp"  "u"  "rho" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "CH2" "CH2(S)" "CH3" "CH4" "CO" "CO2" "HCO" "CH2O" "CH3O" "C2H4" "C2H5" "C2H6" "N2" "AR"
#ZONE I=404 FORMAT=POINT
2.5  298.0  39.50781808157015  1.1300510580169267  -1.1796838542357353e-18  -3.587674441372781e-18  -8.475075315689334e-29  0.1901140684410646  1.954113725894793e-18  -4.712961049150113e-21  -3.072677086449234e-20  -2.6396207317920037e-26  -3.75696509286666e-18  -1.2457046357705055e-20  0.09505703422053231  3.865906061871486e-18  5.877758459404106e-19  -4.897662217798135e-27  3.1369451952525333e-18  -3.678168389148355e-29  1.429586876010104e-18  -3.3529961611524764e-34  -8.173140991290725e-18  0.7148288973384029  -6.469536100063971e-261
2.51  297.99999999999994  39.50781808157014  1.130051058016927  -1.1796733923311234e-18  -3.073335736696692e-23  -1.0760981836488364e-26  0.1901140684410646  -6.274297525692839e-22  -8.419560322671907e-19  -5.9162687791324954e-18  -4.601013492972595e-24  -2.3556728711493373e-25  -2.2249158429924558e-18  0.09505703422053231  1.0743963174143995e-18  5.877758460875391e-19  -1.2471013066376197e-24  3.1325773508487413e-18  -9.547059268549962e-27  1.429586875822296e-18  -9.165350369135523e-32  -8.1730688967451e-18  0.7148288973384029  -6.469537657796131e-261
2.53  297.99999999999994  39.50781808157014  1.130051058016927  -1.1796733842854732e-18  -9.696675820361464e-29  -7.108940578186959e-27  0.1901140684410646  -1.0218892770444216e-23  -8.51342554628829e-19  -5.916304644347471e-18  -1.1336373869772545e-29  -7.37852482675728e-33  -2.2262736415357674e-18  0.09505703422053231  1.074390292786413e-18  5.87775846221957e-19  -3.894242957865515e-30  3.1238135860550175e-18  -5.766983200656375e-26  1.4295868756340222e-18  -4.357416420998449e-33  -8.172700235866495e-18  0.7148288973384029  -6.469539032161594e-261
2.55  297.99999999999994  39.50781808157014  1.130051058016927  -1.179673378034924e-18  -3.405944383152233e-34  -4.711057576903401e-27  0.1901140684410646  -9.543744888414752e-24  -8.601169376331558e-19  -5.91630289160917e-18  -2.73592154835006e-35  1.0673308737432518e-38  -2.226463238409048e-18  0.09505703422053231  1.0743902919737628e-18  5.87775846332906e-19  -9.945389395555524e-36  3.1150383975751568e-18  -8.346707662459137e-26  1.4295868754863853e-18  -5.186153660053061e-33  -8.172532183877339e-18  0.7148288973384029  -6.469540182189261e-261
2.575  297.99999999999994  39.50781808157014  1.130051058016927  -1.1796733716380245e-18  -1.0797586977520096e-35  -6.306544625959574e-27  0.1901140684410646  -9.100088677099506e-24  -8.695793466175728e-19  -5.916301385720114e-18  2.1370790077711496e-37  1.0944227421463329e-38  -2.1253176892651085e-18  0.09505703422053231  1.0743902911780088e-18  5.877758464404768e-19  9.930066497421394e-38  3.1051620261359147e-18  -5.9325199922106e-26  1.429586875200825e-18  -3.6862544170744515e-33  -8.194540188627547e-18  0.7148288973384029  -6.469541283769931e-261
2.6  297.99999999999966  39.5078180815701  1.1300510580169278  -1.179673365240901e-18  -1.789791822247738e-36  -1.7167220896739293e-24  0.1901140684410646  1.8192141837179583e-22  -4.392025094361695e-19  -5.916301358687138e-18  1.2226303893927154e-36  6.25887750562608e-38  4.2597488107982804e-17  0.09505703422053231  1.0743902905012721e-18  5.8777584654804905e-19  4.3875992788179e-37  3.467453341140562e-18  -1.1149307824077344e-26  1.4295867931409977e-18  -2.154943409859009e-31  -2.291378317193026e-17  0.7148288973384029  -6.469542385693515e-261
2.625  297.9999999998746  39.50781808155392  1.130051058017391  -1.1796733588154564e-18  -1.2630028878778184e-28  -8.62162853695583e-22  0.19011406844106266  8.484306485061877e-20  9.742648414895337e-17  -5.916401802634691e-18  3.4565808914046736e-32  1.940857301529964e-33  1.9889948881397335e-14  0.09505703422053127  1.0743903462963599e-18  5.877758466556456e-19  9.544425341750043e-33  1.013837840563001e-16  -4.328664565526584e-26  1.429536003583273e-18  -8.545208530127221e-26  -9.950559510036169e-15  0.7148288973383959  -6.4695434837087745e-261
2.65  297.9999999998145  39.50781808154615  1.1300510580176137  -1.1796733484741042e-18  -6.15318542387983e-29  -9.482963071469223e-22  0.1901140684410616  1.262342975840728e-19  2.4285637592936884e-16  -5.916450379832891e-18  1.0757398756183725e-31  5.591193107122636e-33  2.9576701495908963e-14  0.09505703422053068  1.0743905120253824e-18  5.877758467146086e-19  2.9489100194641943e-32  2.4686052695714116e-16  -3.837249224796139e-26  1.4295111254946633e-18  -4.1875869363930175e-26  -1.4796760627864394e-14  0.7148288973383926  -6.46954410894451e-261
2.7  297.9999999998322  39.50781808154844  1.1300510580175478  -1.1796705045197523e-18  7.77026625180098e-30  -3.428611416673117e-22  0.19011406844106157  1.160461402022613e-19  5.101917853023804e-16  -5.916436587563505e-18  1.0094453587470127e-31  5.157897285667231e-33  2.7181052472604792e-14  0.09505703422053052  1.0743908206160173e-18  5.87775846768516e-19  2.788600345466494e-32  5.14211101688441e-16  -2.568361294378155e-26  1.4295172120109003e-18  5.107049013148929e-27  -1.3599858114829816e-14  0.7148288973383934  -6.469544660837095e-261
2.75  297.9999999998796  39.50781808155458  1.1300510580173717  -1.1789400923265195e-18  2.295821998586538e-29  7.383500977744684e-23  0.19011406844106202  8.536085866162114e-20  7.068371738068934e-16  -5.9163985162747824e-18  5.793741130349811e-32  2.93533725011967e-33  1.9991431411121746e-14  0.09505703422053066  1.074390997011144e-18  5.877758468660244e-19  1.6223675090176164e-32  7.108443603862635e-16  -2.1160418271193104e-26  1.4295356230614378e-18  1.5474233411368442e-26  -1.000521385489821e-14  0.7148288973383959  -6.469545615310163e-261
