VARIABLES = "X" "temp" "u" "rho" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "CH2" "CH2(S)" "CH3" "CH4" "CO" "CO2" "HCO" "CH2O" "CH3O" "C2H4" "C2H5" "C2H6" "N2" "AR"
 ZONE I=520 FORMAT=POINT
0.0000000000000000E+00 3.0000000000000000E+02 2.5366124103911282E+01 1.1339884236683502E-03 2.7701583605202452E-12 5.1474650398276342E-12 6.9847964292726959E-12 1.9474196688691187E-01 -3.0534946373219914E-12 -4.1022387761926806E-14 6.7489767218204779E-14 -2.1508512528347274E-20 -1.0408683428339674E-12 -8.2566597253895495E-12 7.3028237590203784E-02 2.0758078243796240E-12 1.8227814569386104E-14 -4.0539946738436518E-21 4.9609186505628951E-12 -1.9732970931752723E-20 9.4997493596423566E-14 1.4950623904989000E-27 3.5783902615712279E-13 7.3222979551279888E-01 2.2385847759688632E-87
5.9999999999999998E-01 3.0000000001719985E+02 2.5366124106508224E+01 1.1339884235527749E-03 5.6494794149734921E-11 3.5255105943220596E-17 5.8123832063165213E-12 1.9474196687352105E-01 -7.6885636605548388E-15 -2.7855718648975815E-12 4.9981494958935751E-12 -1.4228556212010420E-18 -7.3590684531662889E-20 -1.0066773795401302E-11 7.3028237588122685E-02 1.2464323907150393E-12 1.8227813203312409E-14 -3.9047029249091384E-19 4.9384194512725624E-12 -1.9441967600109635E-18 9.4997440100250633E-14 1.5261647817984693E-25 3.5783881560758583E-13 7.3222979547725497E-01 2.0367668874788646E-86
9.0000000000000013E-01 3.0000000001794450E+02 2.5366124116423521E+01 1.1339884231095086E-03 4.7586044732613462E-10 -6.2227954278465329E-21 5.2804256649087862E-12 1.9474196679299857E-01 2.9802931034668094E-15 -2.2727064637051447E-12 4.9977759989992498E-12 -1.4963271779815350E-23 -2.2607982097471743E-26 -9.0107661876912902E-12 7.3028237555263539E-02 1.2464321289737003E-12 1.8227816120210519E-14 -6.0071564972997764E-24 4.9283961772881392E-12 -2.0537938718174353E-18 9.4997416418604215E-14 -3.0699817668830295E-25 3.5783878408449034E-13 7.3222979517023390E-01 1.5956345829530627E-86
1.2000000000000000E+00 3.0000000001866067E+02 2.5366124222310432E+01 1.1339884183758687E-03 4.9803127594363277E-09 -5.2899020934696541E-21 4.7970790577955014E-12 1.9474196592800200E-01 2.7680351535779678E-15 -1.7940678886783919E-12 4.9974685950703433E-12 -1.8686722020937546E-25 -9.6569162491103604E-27 -8.0414411897102823E-12 7.3028237212593244E-02 1.2465061361530980E-12 1.8228002345902852E-14 -7.9569537683087973E-25 4.9194770130573798E-12 -2.1475399422969907E-18 9.4997406174129192E-14 -2.8604424168372117E-25 3.5783878097621339E-13 7.3222979187249326E-01 1.1196583127177922E-86
1.5000000000000000E+00 3.0000000001992555E+02 2.5366125359109926E+01 1.1339883675556411E-03 5.3363107384505382E-08 -4.0884966801451568E-21 4.3574757100703448E-12 1.9474195663688987E-01 2.5154380939578024E-15 -1.2701557766645112E-12 4.9972833252470420E-12 -1.4502237923600305E-25 -7.5004928112253667E-27 -7.1602322231638054E-12 7.3028233541337820E-02 1.2493024118829539E-12 1.8237186394458108E-14 -7.1679520875717412E-25 4.9115459247394935E-12 -2.2328004701980795E-18 9.4997953772229049E-14 -2.6080255067035093E-25 3.5783894429013699E-13 7.3222975645110600E-01 1.3292293305793991E-86
1.6500000000000001E+00 3.0000000002850686E+02 2.5366130080421740E+01 1.1339881564910110E-03 2.5429261585340231E-07 -3.5314173544518820E-21 4.1482361193434097E-12 1.9474191805157473E-01 2.3950291422927051E-15 1.2659499070468048E-13 4.9977631339000111E-12 -1.2691001730514367E-25 -6.5637297625837393E-27 -6.7407867971652546E-12 7.3028218297635020E-02 1.2891061984535046E-12 1.8407433181302692E-14 -6.7961813027915807E-25 4.9078291124823271E-12 -2.2736611729243134E-18 9.5008336293855257E-14 -2.4876017175896319E-25 3.5784246406242813E-13 7.3222960934897208E-01 1.6792726764854613E-86
1.7250000000000001E+00 3.0000000008527365E+02 2.5366141067471830E+01 1.1339876653188188E-03 7.2174609190839500E-07 -3.1995356328035502E-21 4.0462225709526428E-12 1.9474182828378056E-01 2.3363376971664641E-15 8.3142777469222038E-12 5.0019397116914344E-12 -1.1846768704772123E-25 -6.1270962887754157E-27 -6.5360480143723777E-12 7.3028182831344254E-02 1.5823216444085420E-12 2.0027742313197722E-14 -6.6125209746650763E-25 4.9061647799792994E-12 -2.2955110333806591E-18 9.5105686142057256E-14 -2.4261874723861977E-25 3.5787860656422401E-13 7.3222926712099312E-01 1.8472313101973093E-86
1.7625000000000002E+00 3.0000000029313628E+02 2.5366156605527923E+01 1.1339869706960299E-03 1.3823639570514860E-06 -2.9548475385626047E-21 3.9959357471400759E-12 1.9474170141864905E-01 2.3074249661250551E-15 3.7850301381461664E-11 5.0184828806099170E-12 -1.1433691575321386E-25 -5.9134547088439540E-27 -6.4343438338116142E-12 7.3028132698784901E-02 2.7356075550652507E-12 2.8143291338436349E-14 -6.5070626481953082E-25 4.9060117315272327E-12 -2.3133607990942768E-18 9.5585609881391426E-14 -2.3823492017212686E-25 3.5807115193262992E-13 7.3222878347005282E-01 1.9156766409401758E-86
1.7999999999999998E+00 3.0000000137925110E+02 2.5366191116471065E+01 1.1339854279003179E-03 2.8473731269709795E-06 -2.5533805826319126E-21 3.9463820039282851E-12 1.9474142006323791E-01 2.2789784488967304E-15 1.9107421681919558E-10 5.1106852014488831E-12 -1.1000768102719732E-25 -5.6895485976158047E-27 -6.3305254992744135E-12 7.3028021471732651E-02 9.1682227185042587E-12 8.5045477614430407E-14 -6.3057013840823655E-25 4.9103632681152630E-12 -2.3688756737010956E-18 9.8899415035937522E-14 -2.2451682900237247E-25 3.5949993922609571E-13 7.3222771088347738E-01 1.9695362556068023E-86
1.8374999999999995E+00 3.0000000705564980E+02 2.5366267927270780E+01 1.1339819941233520E-03 6.0962250631407364E-06 -1.7785950585290543E-21 3.8978875052644200E-12 1.9474079603794697E-01 2.2512551956153568E-15 9.8682880561290769E-10 5.6241311678159776E-12 -1.0416976349278577E-25 -5.3876140263480086E-27 -6.2104089626704850E-12 7.3027774549368457E-02 4.5046999119825211E-11 4.8401458295229034E-13 -5.4442907822553418E-25 4.9465337416811509E-12 -2.6825063713886802E-18 1.2177939779013748E-13 -1.4259485215698426E-25 3.7009650715185256E-13 7.3222533214650931E-01 2.0073705594318595E-86
